"","pubyear","citations"
"33",2015,"33. Am J Epidemiol. 2015 Jun 1;181(11):832-45. "
"34",2015,"34. Am J Med. 2015 Jun;128(6):617-28. "
"35",2015,"35. Am J Surg. 2015 Jun;209(6):1074-82. "
"36",2015,"36. Am Surg. 2015 Jun;81(6):626-9"
"37",2015,"37. Anaesthesia. 2015 Jun;70(6):715-31. "
"38",2015,"38. Ann Hematol. 2015 Jun;94(6):1003-9. "
"39",2015,"39. Ann Hematol. 2015 Jun;94(6):929-38. "
"40",2015,"40. Ann Rheum Dis. 2015 Jun;74(6):1241-8. "
"41",2015,"41. Ann Thorac Surg. 2015 Jun;99(6):2024-31. "
"42",2015,"42. Ann Thorac Surg. 2015 Jun;99(6):2046-52. "
"43",2015,"43. Br J Ophthalmol. 2015 Jun;99(6):823-31. "
"44",2015,"44. Br J Surg. 2015 Jun;102(7):735-45. "
"45",2015,"45. Can J Cardiol. 2015 Jun;31(6):792-9. "
"46",2015,"46. Can J Cardiol. 2015 Jun;31(6):800-8. "
"47",2015,"47. Can J Cardiol. 2015 Jun;31(6):775-84. "
"48",2015,"48. Clin Orthop Relat Res. 2015 Jun;473(6):2031-41. "
"49",2015,"49. Dig Dis Sci. 2015 Jun;60(6):1543-53. "
"50",2015,"50. Eur J Endocrinol. 2015 Jun;172(6):R253-62. "
"51",2015,"51. Eur J Surg Oncol. 2015 Jun;41(6):713-23. "
"52",2015,"52. Eur J Vasc Endovasc Surg. 2015 Jun;49(6):634-45. "
"53",2015,"53. Fertil Steril. 2015 Jun;103(6):1492-508.e1-7. "
"54",2015,"54. Fertil Steril. 2015 Jun;103(6):1516-25.e1-3. "
"55",2015,"55. Gene. 2015 Jun 1;563(2):120-4. "
"56",2015,"56. J Acad Nutr Diet. 2015 Jun;115(6):954-69. "
"57",2015,"57. J Am Acad Dermatol. 2015 Jun;72(6):992-1002. "
"58",2015,"58. J Cancer Res Clin Oncol. 2015 Jun;141(6):1119-30. "
"59",2015,"59. J Cancer Res Clin Oncol. 2015 Jun;141(6):1063-71. "
"60",2015,"60. J Dent Res. 2015 Jun;94(6):777-86. "
"61",2015,"61. J Nerv Ment Dis. 2015 Jun;203(6):443-51. "
"62",2015,"62. JAMA Intern Med. 2015 Jun;175(6):931-9. "
"63",2015,"63. Laryngoscope. 2015 Jun;125(6):1472-9. "
"64",2015,"64. Metabolism. 2015 Jun;64(6):756-64. "
"65",2015,"65. Mol Genet Genomics. 2015 Jun;290(3):1125-33. "
"66",2015,"66. Mol Genet Genomics. 2015 Jun;290(3):901-12. "
"67",2015,"67. Muscle Nerve. 2015 Jun;51(6):822-9. "
"68",2015,"68. Obstet Gynecol. 2015 Jun;125(6):1439-51. "
"69",2015,"69. Obstet Gynecol. 2015 Jun;125(6):1423-32. "
"70",2015,"70. Obstet Gynecol. 2015 Jun;125(6):1385-96. "
"71",2015,"71. Phys Ther. 2015 Jun;95(6):835-53. "
"72",2015,"72. Stroke. 2015 Jun;46(6):1574-81. "
"73",2015,"73. Surgery. 2015 Jun;157(6):1166-73. "
"74",2015,"74. BMJ. 2015 May 27;350:h2445. "
"75",2015,"75. Br J Cancer. 2015 May 26;112(11):1805-15. "
"76",2015,"76. JAMA. 2015 May 26;313(20):2055-65. "
"77",2015,"77. Gene. 2015 May 25;563(1):29-34. "
"78",2015,"78. Lancet. 2015 May 23;385(9982):2047-56. "
"79",2015,"79. Blood. 2015 May 21;125(21):3316-25. "
"80",2015,"80. J Clin Oncol. 2015 May 20;33(15):1680-7. "
"81",2015,"81. Ann Intern Med. 2015 May 19;162(10):697-711. "
"82",2015,"82. JAMA. 2015 May 19;313(19):1939-49. "
"83",2015,"83. JAMA. 2015 May 19;313(19):1924-38. "
"84",2015,"84. Am J Cardiol. 2015 May 15;115(10):1367-75. "
"85",2015,"85. Am J Cardiol. 2015 May 15;115(10):1428-34. "
"86",2015,"86. Int J Cancer. 2015 May 15;136(10):2388-401. "
"87",2015,"87. Int J Cancer. 2015 May 15;136(10):2369-77. "
"88",2015,"88. J Surg Res. 2015 May 15;195(2):465-74. "
"89",2015,"89. Lancet. 2015 May 9;385(9980):1835-42. "
"90",2015,"90. Neurology. 2015 May 5;84(18):1894-903. "
"91",2015,"91. Lancet. 2015 May 2;385(9979):1729-37. "
"92",2015,"92. Acta Radiol. 2015 May;56(5):565-72. "
"93",2015,"93. Aliment Pharmacol Ther. 2015 May;41(9):797-806. "
"94",2015,"94. Am Heart J. 2015 May;169(5):663-73. "
"95",2015,"95. Am J Cardiol. 2015 May 1;115(9):1185-93. "
"96",2015,"96. Am J Cardiol. 2015 May 1;115(9):1194-9. "
"97",2015,"97. Am J Clin Nutr. 2015 May;101(5):966-82. "
"98",2015,"98. Am J Phys Med Rehabil. 2015 May;94(5):358-65. "
"99",2015,"99. Am J Public Health. 2015 May;105(5):e11-24. "
"100",2015,"100. Anaesth Intensive Care. 2015 May;43(3):341-50"
"101",2015,"101. Anaesthesia. 2015 May;70(5):613-22. "
"102",2015,"102. Angiology. 2015 May;66(5):422-32. "
"103",2015,"103. Ann Surg. 2015 May;261(5):882-7. "
"104",2015,"104. Ann Thorac Surg. 2015 May;99(5):1568-75. "
"105",2015,"105. APMIS. 2015 May;123(5):383-93. "
"106",2015,"106. Arch Phys Med Rehabil. 2015 May;96(5):934-43. "
"107",2015,"107. Arch Phys Med Rehabil. 2015 May;96(5):944-55. "
"108",2015,"108. Arthritis Care Res (Hoboken). 2015 May;67(6):754-64. "
"109",2015,"109. BJOG. 2015 May;122(6):773-84. "
"110",2015,"110. Br J Anaesth. 2015 May;114(5):746-56. "
"111",2015,"111. Br J Ophthalmol. 2015 May;99(5):593-8. "
"112",2015,"112. Br J Surg. 2015 May;102(6):590-8. "
"113",2015,"113. Br J Surg. 2015 May;102(6):577-89. "
"114",2015,"114. CA Cancer J Clin. 2015 May-Jun;65(3):239-51. "
"115",2015,"115. Can J Cardiol. 2015 May;31(5):649-57. "
"116",2015,"116. Cancer Treat Rev. 2015 May;41(5):448-54. "
"117",2015,"117. Clin Pharmacol Ther. 2015 May;97(5):518-25. "
"118",2015,"118. Clin Radiol. 2015 May;70(5):476-86. "
"119",2015,"119. Dev Med Child Neurol. 2015 May;57(5):410-9. "
"120",2015,"120. Epidemiol Infect. 2015 May;143(7):1333-51. "
"121",2015,"121. Eur J Cancer. 2015 May;51(7):800-7. "
"122",2015,"122. Eur J Endocrinol. 2015 May;172(5):R215-25. "
"123",2015,"123. Eur J Vasc Endovasc Surg. 2015 May;49(5):600-5. "
"124",2015,"124. Fertil Steril. 2015 May;103(5):1278-88.e4. "
"125",2015,"125. Gastroenterology. 2015 May;148(5):958-966.e4. "
"126",2015,"126. Gene. 2015 May 1;561(2):249-55. "
"127",2015,"127. Hypertension. 2015 May;65(5):1041-6. "
"128",2015,"128. Hypertension. 2015 May;65(5):1033-40. "
"129",2015,"129. Int J Cancer. 2015 May 1;136(9):2109-19. "
"130",2015,"130. Int J Prosthodont. 2015 May-Jun;28(3):258-64. "
"131",2015,"131. J Acad Nutr Diet. 2015 May;115(5):780-800.e5. "
"132",2015,"132. J Acquir Immune Defic Syndr. 2015 May 1;69(1):98-108. "
"133",2015,"133. J Am Geriatr Soc. 2015 May;63(5):1002-9. "
"134",2015,"134. J Cancer Res Clin Oncol. 2015 May;141(5):909-21. "
"135",2015,"135. J Clin Epidemiol. 2015 May;68(5):563-73. "
"136",2015,"136. J Clin Epidemiol. 2015 May;68(5):584-95. "
"137",2015,"137. J Clin Epidemiol. 2015 May;68(5):525-33. "
"138",2015,"138. J Invest Dermatol. 2015 May;135(5):1234-43. "
"139",2015,"139. J Neurol Neurosurg Psychiatry. 2015 May;86(5):524-9. "
"140",2015,"140. J Neurosurg. 2015 May;122(5):1096-112. "
"141",2015,"141. J Nucl Med. 2015 May;56(5):675-80. "
"142",2015,"142. J Nutr. 2015 May;145(5):1137S-1143S. "
"143",2015,"143. J Surg Res. 2015 May 1;195(1):166-74. "
"144",2015,"144. J Urol. 2015 May;193(5 Suppl):1772-7. "
"145",2015,"145. J Urol. 2015 May;193(5 Suppl):1837-42. "
"146",2015,"146. J Vasc Surg. 2015 May;61(5):1120-8.e1. "
"147",2015,"147. JAMA Dermatol. 2015 May;151(5):522-8. "
"148",2015,"148. Lancet Infect Dis. 2015 May;15(5):565-80. "
"149",2015,"149. Laryngoscope. 2015 May;125(5):1254-64. "
"150",2015,"150. Mayo Clin Proc. 2015 May;90(5):613-23. "
"151",2015,"151. Medicine (Baltimore). 2015 May;94(21):e775. "
"152",2015,"152. Medicine (Baltimore). 2015 May;94(20):e845. "
"153",2015,"153. Medicine (Baltimore). 2015 May;94(20):e827. "
"154",2015,"154. Medicine (Baltimore). 2015 May;94(19):e876. "
"155",2015,"155. Medicine (Baltimore). 2015 May;94(19):e762. "
"156",2015,"156. Medicine (Baltimore). 2015 May;94(18):e828. "
"157",2015,"157. Medicine (Baltimore). 2015 May;94(17):e803. "
"158",2015,"158. Medicine (Baltimore). 2015 May;94(17):e759. "
"159",2015,"159. Medicine (Baltimore). 2015 May;94(17):e736. "
"160",2015,"160. Nicotine Tob Res. 2015 May;17(5):503-9. "
"161",2015,"161. Obstet Gynecol. 2015 May;125(5):1224-35. "
"162",2015,"162. Obstet Gynecol. 2015 May;125(5):1185-94. "
"163",2015,"163. Otolaryngol Head Neck Surg. 2015 May;152(5):803-10. "
"164",2015,"164. Otolaryngol Head Neck Surg. 2015 May;152(5):811-9. "
"165",2015,"165. Pediatrics. 2015 May;135(5):e1276-85. "
"166",2015,"166. Pediatrics. 2015 May;135(5):e1266-75. "
"167",2015,"167. Phys Ther. 2015 May;95(5):700-9. "
"168",2015,"168. Stroke. 2015 May;46(5):1202-9. "
"169",2015,"169. Stroke. 2015 May;46(5):1281-7. "
"170",2015,"170. Stroke. 2015 May;46(5):1187-95. "
"171",2015,"171. Support Care Cancer. 2015 May;23(5):1237-50. "
"172",2015,"172. Thorax. 2015 May;70(5):492-4. "
"173",2015,"173. Transplantation. 2015 May;99(5):1084-91. "
"174",2015,"174. Tumour Biol. 2015 May;36(5):3137-45. "
"175",2015,"175. Tumour Biol. 2015 May;36(5):3209-14. "
"176",2015,"176. Tumour Biol. 2015 May;36(5):3361-9. "
"177",2015,"177. Urology. 2015 May;85(5):1166-72. "
"178",2015,"178. Vasa. 2015 May;44(3):195-202. "
"179",2015,"179. Virchows Arch. 2015 May;466(5):495-502. "
"180",2015,"180. World Neurosurg. 2015 May;83(5):816-23. "
"181",2015,"181. World Neurosurg. 2015 May;83(5):808-15. "
"182",2015,"182. Nature. 2015 Apr 30;520(7549):670-4. "
"183",2015,"183. Br J Nutr. 2015 Apr 28;113(8):1182-94. "
"184",2015,"184. Ann Intern Med. 2015 Apr 21;162(8):557-65. "
"185",2015,"185. BMJ. 2015 Apr 20;350:h1551. "
"186",2015,"186. J Natl Cancer Inst. 2015 Apr 18;107(5). pii: djv081. "
"187",2015,"187. BMJ. 2015 Apr 16;350:h1618. "
"188",2015,"188. BMJ. 2015 Apr 16;350:h1662. "
"189",2015,"189. Am J Cardiol. 2015 Apr 15;115(8):1027-32. "
"190",2015,"190. Am J Cardiol. 2015 Apr 15;115(8):1111-5. "
"191",2015,"191. BMC Med Genet. 2015 Apr 15;16:25. "
"192",2015,"192. Int J Cancer. 2015 Apr 15;136(8):1888-98. "
"193",2015,"193. J Natl Cancer Inst. 2015 Apr 14;107(5). pii: djv100. "
"194",2015,"194. Lancet. 2015 Apr 11;385(9976):1397-405. "
"195",2015,"195. Circ Res. 2015 Apr 10;116(8):1346-60. "
"196",2015,"196. Circ Res. 2015 Apr 10;116(8):1361-77. "
"197",2015,"197. J Am Coll Cardiol. 2015 Apr 7;65(13):1298-310. "
"198",2015,"198. BMC Med. 2015 Apr 3;13:71. "
"199",2015,"199. Am J Hum Genet. 2015 Apr 2;96(4):532-42. "
"200",2015,"200. Acta Obstet Gynecol Scand. 2015 Apr;94(4):352-8. "
"201",2015,"201. Acta Orthop. 2015 Apr;86(2):195-201. "
"202",2015,"202. AJR Am J Roentgenol. 2015 Apr;204(4):W439-48. "
"203",2015,"203. Aliment Pharmacol Ther. 2015 Apr;41(7):624-35. "
"204",2015,"204. Aliment Pharmacol Ther. 2015 Apr;41(7):603-12. "
"205",2015,"205. Aliment Pharmacol Ther. 2015 Apr;41(7):613-23. "
"206",2015,"206. Am J Cardiol. 2015 Apr 1;115(7):942-9. "
"207",2015,"207. Am J Cardiol. 2015 Apr 1;115(7):901-6. "
"208",2015,"208. Am J Clin Nutr. 2015 Apr;101(4):783-93. "
"209",2015,"209. Am J Gastroenterol. 2015 Apr;110(4):501-9; quiz 510. "
"210",2015,"210. Am J Kidney Dis. 2015 Apr;65(4):611-22. "
"211",2015,"211. Am J Med. 2015 Apr;128(4):410-7.e1. "
"212",2015,"212. Am J Med Sci. 2015 Apr;349(4):364-71. "
"213",2015,"213. Am J Psychiatry. 2015 Apr;172(4):323-34. "
"214",2015,"214. Am J Surg. 2015 Apr;209(4):616-22. "
"215",2015,"215. Am J Surg. 2015 Apr;209(4):747-59. "
"216",2015,"216. Anesthesiology. 2015 Apr;122(4):841-51. "
"217",2015,"217. Ann Rheum Dis. 2015 Apr;74(4):703-10. "
"218",2015,"218. Ann Surg. 2015 Apr;261(4):662-9. "
"219",2015,"219. Ann Thorac Surg. 2015 Apr;99(4):1470-8. "
"220",2015,"220. Ann Thorac Surg. 2015 Apr;99(4):1130-9. "
"221",2015,"221. Arch Gynecol Obstet. 2015 Apr;291(4):729-35. "
"222",2015,"222. Arch Phys Med Rehabil. 2015 Apr;96(4):724-734.e3. "
"223",2015,"223. Arch Phys Med Rehabil. 2015 Apr;96(4):715-23. "
"224",2015,"224. Arterioscler Thromb Vasc Biol. 2015 Apr;35(4):1038-44. "
"225",2015,"225. Arthritis Care Res (Hoboken). 2015 Apr;67(4):493-501. "
"226",2015,"226. Autoimmun Rev. 2015 Apr;14(4):304-13. "
"227",2015,"227. BJOG. 2015 Apr;122(5):643-51. "
"228",2015,"228. BJOG. 2015 Apr;122(5):634-42. "
"229",2015,"229. Bone Joint J. 2015 Apr;97-B(4):550-7. "
"230",2015,"230. Br J Anaesth. 2015 Apr;114(4):588-97. "
"231",2015,"231. Br J Anaesth. 2015 Apr;114(4):551-61. "
"232",2015,"232. Br J Surg. 2015 Apr;102(5):451-60. "
"233",2015,"233. Br J Surg. 2015 Apr;102(5):436-50. "
"234",2015,"234. Bull Cancer. 2015 Apr;102(4):332-9. "
"235",2015,"235. Cancer Invest. 2015 Apr;33(4):121-5. "
"236",2015,"236. Chest. 2015 Apr;147(4):1043-62. "
"237",2015,"237. Circ Arrhythm Electrophysiol. 2015 Apr;8(2):296-302. "
"238",2015,"238. Circ Arrhythm Electrophysiol. 2015 Apr;8(2):263-9. "
"239",2015,"239. Clin Radiol. 2015 Apr;70(4):351-8. "
"240",2015,"240. Dev Med Child Neurol. 2015 Apr;57(4):328-38. "
"241",2015,"241. Ecol Appl. 2015 Apr;25(3):812-25"
"242",2015,"242. Emotion. 2015 Apr;15(2):243-56. "
"243",2015,"243. Environ Res. 2015 Apr;138:372-80. "
"244",2015,"244. Eur J Cancer. 2015 Apr;51(6):786-8. "
"245",2015,"245. Eur J Endocrinol. 2015 Apr;172(4):R143-9. "
"246",2015,"246. Eur J Epidemiol. 2015 Apr;30(4):305-15. "
"247",2015,"247. Eur J Epidemiol. 2015 Apr;30(4):279-98. "
"248",2015,"248. Eur J Surg Oncol. 2015 Apr;41(4):527-33. "
"249",2015,"249. Eur J Surg Oncol. 2015 Apr;41(4):450-6. "
"250",2015,"250. Gynecol Oncol. 2015 Apr;137(1):180-7. "
"251",2015,"251. Gynecol Oncol. 2015 Apr;137(1):167-72. "
"252",2015,"252. Int J Cancer. 2015 Apr 1;136(7):1680-7. "
"253",2015,"253. Int J Radiat Oncol Biol Phys. 2015 Apr 1;91(5):1090-8. "
"254",2015,"254. Int J STD AIDS. 2015 Apr;26(5):291-305. "
"255",2015,"255. J Am Acad Dermatol. 2015 Apr;72(4):634-9. "
"256",2015,"256. J Cancer Res Clin Oncol. 2015 Apr;141(4):735-48. "
"257",2015,"257. J Clin Endocrinol Metab. 2015 Apr;100(4):1405-11. "
"258",2015,"258. J Clin Endocrinol Metab. 2015 Apr;100(4):E664-71. "
"259",2015,"259. J Clin Epidemiol. 2015 Apr;68(4):442-51. "
"260",2015,"260. J Dent Res. 2015 Apr;94(4):522-33. "
"261",2015,"261. J Huazhong Univ Sci Technolog Med Sci. 2015 Apr;35(2):169-75. "
"262",2015,"262. J Huazhong Univ Sci Technolog Med Sci. 2015 Apr;35(2):157-68. "
"263",2015,"263. J Huazhong Univ Sci Technolog Med Sci. 2015 Apr;35(2):147-56. "
"264",2015,"264. J Invest Dermatol. 2015 Apr;135(4):975-83. "
"265",2015,"265. J Med Microbiol. 2015 Apr;64(Pt 4):446-53. "
"266",2015,"266. J Neurosurg. 2015 Apr;122(4):921-8. "
"267",2015,"267. J Nutr. 2015 Apr;145(4):758-65. "
"268",2015,"268. J Oral Facial Pain Headache. 2015 Spring;29(2):115-25. "
"269",2015,"269. J Oral Maxillofac Surg. 2015 Apr;73(4):606-15. "
"270",2015,"270. J Oral Maxillofac Surg. 2015 Apr;73(4):719-26. "
"271",2015,"271. J Orthop Surg (Hong Kong). 2015 Apr;23(1):100-6"
"272",2015,"272. J Pediatr. 2015 Apr;166(4):908-16.e1-6. "
"273",2015,"273. J R Soc Med. 2015 Apr;108(4):136-41. "
"274",2015,"274. J Surg Res. 2015 Apr;194(2):367-74. "
"275",2015,"275. J Tradit Chin Med. 2015 Apr;35(2):125-33"
"276",2015,"276. J Trauma Acute Care Surg. 2015 Apr;78(4):874-82. "
"277",2015,"277. JAMA Intern Med. 2015 Apr;175(4):512-20. "
"278",2015,"278. JAMA Neurol. 2015 Apr;72(4):432-40. "
"279",2015,"279. JAMA Pediatr. 2015 Apr;169(4):332-40. "
"280",2015,"280. JAMA Psychiatry. 2015 Apr;72(4):334-41. "
"281",2015,"281. JAMA Psychiatry. 2015 Apr;72(4):305-15. "
"282",2015,"282. Lancet Infect Dis. 2015 Apr;15(4):439-50. "
"283",2015,"283. Lancet Neurol. 2015 Apr;14(4):377-87. "
"284",2015,"284. Mayo Clin Proc. 2015 Apr;90(4):469-80. "
"285",2015,"285. Medicine (Baltimore). 2015 Apr;94(16):e694. "
"286",2015,"286. Medicine (Baltimore). 2015 Apr;94(16):e672. "
"287",2015,"287. Medicine (Baltimore). 2015 Apr;94(16):e652. "
"288",2015,"288. Medicine (Baltimore). 2015 Apr;94(15):e665. "
"289",2015,"289. Medicine (Baltimore). 2015 Apr;94(14):e731. "
"290",2015,"290. Medicine (Baltimore). 2015 Apr;94(14):e722. "
"291",2015,"291. Medicine (Baltimore). 2015 Apr;94(14):e622. "
"292",2015,"292. Medicine (Baltimore). 2015 Apr;94(14):e597. "
"293",2015,"293. Medicine (Baltimore). 2015 Apr;94(13):e679. "
"294",2015,"294. Medicine (Baltimore). 2015 Apr;94(13):e568. "
"295",2015,"295. Mol Genet Genomics. 2015 Apr;290(2):739-65. "
"296",2015,"296. Mol Genet Genomics. 2015 Apr;290(2):709-25. "
"297",2015,"297. Mol Genet Genomics. 2015 Apr;290(2):573-84. "
"298",2015,"298. Mol Genet Genomics. 2015 Apr;290(2):545-58. "
"299",2015,"299. Mol Genet Genomics. 2015 Apr;290(2):513-20. "
"300",2015,"300. Mol Genet Genomics. 2015 Apr;290(2):461-9. "
"301",2015,"301. Optom Vis Sci. 2015 Apr;92(4):471-9. "
"302",2015,"302. Otolaryngol Head Neck Surg. 2015 Apr;152(4):619-30. "
"303",2015,"303. Otolaryngol Head Neck Surg. 2015 Apr;152(4):631-7. "
"304",2015,"304. Otolaryngol Head Neck Surg. 2015 Apr;152(4):610-8. "
"305",2015,"305. Pediatrics. 2015 Apr;135(4):714-22. "
"306",2015,"306. Pediatrics. 2015 Apr;135(4):e1002-14. "
"307",2015,"307. Pediatrics. 2015 Apr;135(4):e994-1001. "
"308",2015,"308. Phys Ther. 2015 Apr;95(4):493-506. "
"309",2015,"309. Plast Reconstr Surg. 2015 Apr;135(4):1124-39. "
"310",2015,"310. Radiology. 2015 Apr;275(1):97-109. "
"311",2015,"311. Radiology. 2015 Apr;275(1):89-96. "
"312",2015,"312. Rheumatology (Oxford). 2015 Apr;54(4):736-42. "
"313",2015,"313. Stroke. 2015 Apr;46(4):1014-23. "
"314",2015,"314. Surgery. 2015 Apr;157(4):609-18. "
"315",2015,"315. Surgery. 2015 Apr;157(4):690-8. "
"316",2015,"316. Thorax. 2015 Apr;70(4):359-67. "
"317",2015,"317. Tumour Biol. 2015 Apr;36(4):2559-67. "
"318",2015,"318. Tumour Biol. 2015 Apr;36(4):2983-92. "
"319",2015,"319. Tumour Biol. 2015 Apr;36(4):2675-84. "
"320",2015,"320. Tumour Biol. 2015 Apr;36(4):2641-9. "
"321",2015,"321. Urology. 2015 Apr;85(4):856-61. "
"322",2015,"322. Urology. 2015 Apr;85(4):819-25. "
"323",2015,"323. Urology. 2015 Apr;85(4):799-804. "
"324",2015,"324. Urology. 2015 Apr;85(4):809-13. "
"325",2015,"325. Urology. 2015 Apr;85(4):748-56. "
"326",2015,"326. Virchows Arch. 2015 Apr;466(4):363-73. "
"327",2015,"327. World J Surg. 2015 Apr;39(4):940-52. "
"328",2015,"328. World J Surg. 2015 Apr;39(4):981-96. "
"329",2015,"329. World J Surg. 2015 Apr;39(4):912-25. "
"330",2015,"330. World Neurosurg. 2015 Apr;83(4):567-73. "
"331",2015,"331. Zhongguo Zhen Jiu. 2015 Apr;35(4):407-11"
"332",2015,"332. Arch Ital Urol Androl. 2015 Mar 31;87(1):41-8. "
"333",2015,"333. BMJ. 2015 Mar 31;350:h1225. "
"334",2015,"334. BMJ. 2015 Mar 24;350:h1295. "
"335",2015,"335. BMJ. 2015 Mar 24;350:h1354. "
"336",2015,"336. J Am Coll Cardiol. 2015 Mar 24;65(11):1092-102. "
"337",2015,"337. Neurology. 2015 Mar 24;84(12):1272-80. "
"338",2015,"338. BMC Med. 2015 Mar 17;13:53. "
"339",2015,"339. CMAJ. 2015 Mar 17;187(5):E169-75. "
"340",2015,"340. Neurology. 2015 Mar 17;84(11):1072-9. "
"341",2015,"341. Am J Cardiol. 2015 Mar 15;115(6):716-23. "
"342",2015,"342. Am J Cardiol. 2015 Mar 15;115(6):837-43. "
"343",2015,"343. Am J Epidemiol. 2015 Mar 15;181(6):374-84. "
"344",2015,"344. Int J Cancer. 2015 Mar 15;136(6):E751-9. "
"345",2015,"345. Int J Radiat Oncol Biol Phys. 2015 Mar 15;91(4):710-7. "
"346",2015,"346. J Affect Disord. 2015 Mar 15;174:137-43. "
"347",2015,"347. Br J Nutr. 2015 Mar 14;113(5):709-17. "
"348",2015,"348. BMJ. 2015 Mar 13;350:h1269. "
"349",2015,"349. BMJ. 2015 Mar 12;350:h1109. "
"350",2015,"350. Gene. 2015 Mar 10;558(2):181-6. "
"351",2015,"351. Gene. 2015 Mar 10;558(2):265-70. "
"352",2015,"352. J Natl Cancer Inst. 2015 Mar 10;107(2). pii: djv088. "
"353",2015,"353. Lancet. 2015 Mar 7;385(9971):867-74. "
"354",2015,"354. Am J Hum Genet. 2015 Mar 5;96(3):487-97. "
"355",2015,"355. BMJ. 2015 Mar 4;350:h910. "
"356",2015,"356. Neurology. 2015 Mar 3;84(9):880-7. "
"357",2015,"357. Acta Radiol. 2015 Mar;56(3):329-38. "
"358",2015,"358. Adv Clin Exp Med. 2015 Mar-Apr;24(2):331-40. "
"359",2015,"359. Am J Alzheimers Dis Other Demen. 2015 Mar;30(2):178-82. "
"360",2015,"360. Am J Cardiol. 2015 Mar 1;115(5):625-9. "
"361",2015,"361. Am J Cardiol. 2015 Mar 1;115(5):592-601. "
"362",2015,"362. Am J Clin Nutr. 2015 Mar;101(3):570-8. "
"363",2015,"363. Am J Emerg Med. 2015 Mar;33(3):331-7. "
"364",2015,"364. Am J Epidemiol. 2015 Mar 1;181(5):337-48. "
"365",2015,"365. Am J Gastroenterol. 2015 Mar;110(3):444-54. "
"366",2015,"366. Am J Gastroenterol. 2015 Mar;110(3):381-90; quiz 391. "
"367",2015,"367. Am J Public Health. 2015 Mar;105(3):e43-57. "
"368",2015,"368. Am J Respir Cell Mol Biol. 2015 Mar;52(3):365-76. "
"369",2015,"369. Ann Hematol. 2015 Mar;94(3):361-73. "
"370",2015,"370. Ann Neurol. 2015 Mar;77(3):547-52. "
"371",2015,"371. Ann Rheum Dis. 2015 Mar;74(3):480-9. "
"372",2015,"372. Ann Rheum Dis. 2015 Mar;74(3):e15. "
"373",2015,"373. Ann Surg. 2015 Mar;261(3):421-9. "
"374",2015,"374. Ann Surg. 2015 Mar;261(3):459-67. "
"375",2015,"375. Ann Surg. 2015 Mar;261(3):598-604. "
"376",2015,"376. Ann Thorac Surg. 2015 Mar;99(3):809-16. "
"377",2015,"377. Ann Thorac Surg. 2015 Mar;99(3):1097-104. "
"378",2015,"378. Arch Gerontol Geriatr. 2015 Mar-Apr;60(2):233-8. "
"379",2015,"379. Arch Gynecol Obstet. 2015 Mar;291(3):611-21. "
"380",2015,"380. Arch Gynecol Obstet. 2015 Mar;291(3):671-9. "
"381",2015,"381. Arch Virol. 2015 Mar;160(3):747-56. "
