"","pubyear","citations"
"129",2013,"129. Arch Gynecol Obstet. 2013 Jun;287(6):1059-66. "
"130",2013,"130. Heart Rhythm. 2013 Jun;10(6):828-35. "
"131",2013,"131. Lancet Infect Dis. 2013 Jun;13(6):507-18. "
"132",2013,"132. Pediatrics. 2013 Jun;131(6):e1908-16. "
"133",2013,"133. Value Health. 2013 Jun;16(4):619-28. "
"134",2013,"134. Epidemiol Infect. 2013 May;141(5):893-904. "
"135",2013,"135. Heart. 2013 May;99(9):601-13. "
"136",2013,"136. PLoS Genet. 2013 May;9(5):e1003509. "
"137",2013,"137. Emerg Med J. 2013 Apr;30(4):280-6. "
"138",2013,"138. Int J Epidemiol. 2013 Apr;42(2):475-92. "
"139",2013,"139. J Clin Periodontol. 2013 Apr;40(4):372-86. "
"140",2013,"140. Syst Rev. 2013 Mar 13;2:18. "
"141",2013,"141. Eur Rev Med Pharmacol Sci. 2013 Mar;17(5):658-67"
"142",2013,"142. Int J Methods Psychiatr Res. 2013 Mar;22(1):1-15. "
"143",2013,"143. JAMA Dermatol. 2013 Mar;149(3):341-9. "
"144",2013,"144. Value Health. 2013 Mar-Apr;16(2):403-17. "
"145",2013,"145. Clin Nutr. 2013 Feb;32(1):8-15. "
"146",2013,"146. QJM. 2013 Feb;106(2):153-63. "
"147",2013,"147. BMJ. 2013 Jan 16;346:f55. "
"148",2013,"148. Br J Anaesth. 2013 Jan;110(1):21-7. "
"149",2013,"149. Expert Opin Pharmacother. 2013 Jan;14(1):27-39. "
"150",2013,"150. Health Technol Assess. 2013;17(1):v-vi, 1-188. "
"151",2013,"151. Int J Chron Obstruct Pulmon Dis. 2013;8:405-23. "
"152",2013,"152. Int J Vitam Nutr Res. 2013;83(2):101-11. "
"153",2013,"153. J Clin Periodontol. 2013 Jan;40(1):53-64. "
"154",2013,"154. PLoS One. 2013 Dec 17;8(12):e82853. "
"155",2013,"155. PLoS One. 2013 Nov 13;8(11):e79203. "
"156",2013,"156. PLoS One. 2013 Oct 24;8(10):e76635. "
"157",2013,"157. PLoS One. 2013 Sep 18;8(9):e75357. "
"158",2013,"158. PLoS One. 2013 Sep 5;8(9):e72697. "
"159",2013,"159. PLoS One. 2013;8(2):e54695. "
"160",2012,"160. Ann Surg. 2012 Dec;256(6):894-901. "
"161",2012,"161. Int J Antimicrob Agents. 2012 Dec;40(6):479-95. "
"162",2012,"162. Am J Cardiol. 2012 Nov 15;110(10):1468-76. "
"163",2012,"163. Am J Hum Genet. 2012 Nov 2;91(5):778-93. "
"164",2012,"164. Bone. 2012 Nov;51(5):969-74. "
"165",2012,"165. Curr Med Res Opin. 2012 Nov;28(11):1841-56. "
"166",2012,"166. Diabetes Metab. 2012 Nov;38(5):420-7. "
"167",2012,"167. Diabetologia. 2012 Nov;55(11):2895-905. "
"168",2012,"168. J Natl Cancer Inst. 2012 Oct 3;104(19):1433-57. "
"169",2012,"169. AJR Am J Roentgenol. 2012 Oct;199(4):822-9"
"170",2012,"170. Am J Surg. 2012 Oct;204(4):428-33. "
"171",2012,"171. Clin Gastroenterol Hepatol. 2012 Oct;10(10):1101-9. "
"172",2012,"172. J Neurosurg Anesthesiol. 2012 Oct;24(4):376-81. "
"173",2012,"173. Obstet Gynecol. 2012 Oct;120(4):897-907"
"174",2012,"174. Am J Gastroenterol. 2012 Sep;107(9):1306-13. "
"175",2012,"175. Ann Med. 2012 Sep;44(6):588-97. "
"176",2012,"176. Diabetes Obes Metab. 2012 Sep;14(9):810-20. "
"177",2012,"177. Acta Anaesthesiol Scand. 2012 Aug;56(7):817-32. "
"178",2012,"178. Surgery. 2012 Aug;152(2):202-11. "
"179",2012,"179. Thromb Haemost. 2012 Aug;108(2):318-27. "
"180",2012,"180. J Clin Oncol. 2012 Jul 10;30(20):2559-65. "
"181",2012,"181. Catheter Cardiovasc Interv. 2012 Jul 1;80(1):128-38. "
"182",2012,"182. Diabetes Obes Metab. 2012 Jul;14(7):616-25. "
"183",2012,"183. Epidemiology. 2012 Jul;23(4):594-606. "
"184",2012,"184. Int J Biometeorol. 2012 Jul;56(4):569-81. "
"185",2012,"185. Pharm Stat. 2012 Jul-Aug;11(4):318-24. "
"186",2012,"186. BMC Pulm Med. 2012 Jun 25;12:29. "
"187",2012,"187. BMC Cancer. 2012 Jun 12;12:236. "
"188",2012,"188. J Clin Psychopharmacol. 2012 Jun;32(3):309-16. "
"189",2012,"189. Spine (Phila Pa 1976). 2012 May 15;37(11):943-52. "
"190",2012,"190. Malar J. 2012 May 3;11:147. "
"191",2012,"191. Am J Epidemiol. 2012 May 1;175(9):867-77. "
"192",2012,"192. J Clin Epidemiol. 2012 May;65(5):503-10. "
"193",2012,"193. J Vasc Surg. 2012 May;55(5):1463-73. "
"194",2012,"194. Lancet Infect Dis. 2012 May;12(5):373-80. "
"195",2012,"195. J Natl Cancer Inst. 2012 Apr 4;104(7):507-16. "
"196",2012,"196. Am Heart J. 2012 Apr;163(4):632-48. "
"197",2012,"197. Cardiovasc Drugs Ther. 2012 Apr;26(2):167-79. "
"198",2012,"198. Int J Technol Assess Health Care. 2012 Apr;28(2):115-24. "
"199",2012,"199. Dent Mater. 2012 Mar;28(3):298-303. "
"200",2012,"200. Eur Arch Otorhinolaryngol. 2012 Mar;269(3):721-9. "
"201",2012,"201. J Clin Periodontol. 2012 Mar;39(3):303-14"
"202",2012,"202. Nutr Metab Cardiovasc Dis. 2012 Mar;22(3):182-91. "
"203",2012,"203. Ophthalmology. 2012 Mar;119(3):571-80. "
"204",2012,"204. Clin Ther. 2012 Feb;34(2):282-94. "
"205",2012,"205. Int J Biostat. 2012 Jan 6;8(2). pii:/j/ijb.2012.8.issue-2/1557-4679.1350/1557-4679.1350.xml. "
"206",2012,"206. Br J Dermatol. 2012 Jan;166(1):179-88. "
"207",2012,"207. Epidemiol Rev. 2012;34:46-56. "
"208",2012,"208. Health Technol Assess. 2012;16(38):1-205, iii-v. "
"209",2012,"209. Int J Chron Obstruct Pulmon Dis. 2012;7:415-20. "
"210",2012,"210. Oncologist. 2012;17(11):1376-85. "
"211",2012,"211. PLoS One. 2012;7(10):e46175. "
"212",2011,"212. J Clin Psychopharmacol. 2011 Dec;31(6):698-704. "
"213",2011,"213. BMC Med. 2011 Nov 17;9:123. "
"214",2011,"214. Can J Cardiol. 2011 Nov-Dec;27(6):843-50. "
"215",2011,"215. Chest. 2011 Aug;140(2):374-81. "
"216",2011,"216. Obes Rev. 2011 Aug;12(8):602-21. "
"217",2011,"217. HIV Clin Trials. 2011 Jul-Aug;12(4):175-89. "
"218",2011,"218. Risk Anal. 2011 Jul;31(7):1141-55. "
"219",2011,"219. Gastrointest Endosc. 2011 Jun;73(6):1122-34. "
"220",2011,"220. Osteoarthritis Cartilage. 2011 Jun;19(6):611-9. "
"221",2011,"221. Surgery. 2011 Jun;149(6):830-40. "
"222",2011,"222. Anesth Analg. 2011 May;112(5):1019-33. "
"223",2011,"223. Cancer Invest. 2011 May;29(4):293-9. "
"224",2011,"224. BMJ. 2011 Apr 6;342:d1714. "
"225",2011,"225. Arch Intern Med. 2011 Mar 14;171(5):384-94. "
"226",2011,"226. BMJ. 2011 Mar 11;342:d1199. "
"227",2011,"227. Int Orthop. 2011 Mar;35(3):331-9. "
"228",2011,"228. QJM. 2011 Mar;104(3):193-200. "
"229",2011,"229. Bull World Health Organ. 2011 Feb 1;89(2):112-20. "
"230",2011,"230. Curr Drug Targets. 2011 Feb;12(2):212-20"
"231",2011,"231. Pharmacoepidemiol Drug Saf. 2011 Feb;20(2):119-30. "
"232",2011,"232. QJM. 2011 Feb;104(2):109-24. "
"233",2011,"233. Semin Arthritis Rheum. 2011 Feb;40(4):275-84.e1-2. "
"234",2011,"234. J Natl Cancer Inst. 2011 Jan 19;103(2):129-42. "
"235",2011,"235. Breast Cancer Res Treat. 2011 Jan;125(2):495-504. "
"236",2011,"236. Cardiology. 2011;120(2):59-72. "
"237",2011,"237. Curr Med Res Opin. 2011 Jan;27(1):225-38. "
"238",2011,"238. Int J Chron Obstruct Pulmon Dis. 2011;6:329-44. "
"239",2011,"239. Value Health. 2011 Jan;14(1):80-9. "
"240",2010,"240. Stat Med. 2010 Dec 30;29(30):3088-102. "
"241",2010,"241. Circ Cardiovasc Interv. 2010 Dec;3(6):565-76. "
"242",2010,"242. Eur Urol. 2010 Dec;58(6):865-74. "
"243",2010,"243. Value Health. 2010 Dec;13(8):934-45. "
"244",2010,"244. Cancer. 2010 Nov 15;116(22):5138-49. "
"245",2010,"245. Am J Cardiol. 2010 Oct 15;106(8):1075-80. "
"246",2010,"246. BMJ. 2010 Sep 16;341:c4675. "
"247",2010,"247. J Hosp Infect. 2010 Sep;76(1):1-11. "
"248",2010,"248. Int J Cardiol. 2010 Jul 23;142(3):218-23. "
"249",2010,"249. Breast Cancer Res Treat. 2010 Jul;122(2):471-81. "
"250",2010,"250. Curr Med Res Opin. 2010 Jul;26(7):1565-78. "
"251",2010,"251. BMC Cardiovasc Disord. 2010 Jun 3;10:24. "
"252",2010,"252. Curr Med Res Opin. 2010 May;26(5):1193-201. "
"253",2010,"253. J Gastrointest Surg. 2010 May;14(5):788-804. "
"254",2010,"254. Lancet Infect Dis. 2010 Apr;10(4):251-61. "
"255",2010,"255. Anesth Analg. 2010 Feb 1;110(2):570-80. "
"256",2010,"256. Circ Cardiovasc Interv. 2010 Feb 1;3(1):6-16. "
"257",2010,"257. Osteoarthritis Cartilage. 2010 Feb;18(2):200-7. "
"258",2010,"258. Curr Med Res Opin. 2010 Jan;26(1):53-9. "
"259",2010,"259. Psychother Psychosom. 2010;79(5):285-94. "
"260",2009,"260. Infect Genet Evol. 2009 Dec;9(6):1356-63. "
"261",2009,"261. Arch Intern Med. 2009 Nov 23;169(21):1952-60. "
"262",2009,"262. Am J Med. 2009 Nov;122(11):1016-1022.e1. "
"263",2009,"263. Cancer Treat Rev. 2009 Nov;35(7):570-3. "
"264",2009,"264. Diabetes Obes Metab. 2009 Nov;11(11):1009-16. "
"265",2009,"265. Am J Clin Nutr. 2009 Oct;90(4):943-50. "
"266",2009,"266. Circ Cardiovasc Interv. 2009 Oct;2(5):409-15. "
"267",2009,"267. Eur Respir J. 2009 Oct;34(4):803-11. "
"268",2009,"268. Med Care. 2009 Oct;47(10):1053-61. "
"269",2009,"269. BMC Musculoskelet Disord. 2009 Sep 21;10:113. "
"270",2009,"270. Am J Epidemiol. 2009 Sep 1;170(5):537-45. "
"271",2009,"271. Ann Clin Microbiol Antimicrob. 2009 Jun 26;8:23. "
"272",2009,"272. Addiction. 2009 Jun;104(6):894-904. "
"273",2009,"273. Hum Genet. 2009 Jun;125(5-6):627-31. "
"274",2009,"274. Am J Hum Genet. 2009 May;84(5):567-80. "
"275",2009,"275. Heart. 2009 Apr;95(7):542-9. "
"276",2009,"276. Eur Heart J. 2009 Mar;30(6):718-30. "
"277",2009,"277. Eur J Gastroenterol Hepatol. 2009 Mar;21(3):254-7. "
"278",2009,"278. Lancet Infect Dis. 2009 Mar;9(3):153-61. "
"279",2009,"279. BMC Med Genet. 2009 Feb 19;10:15. "
"280",2009,"280. JAMA. 2009 Feb 18;301(7):753-62. "
"281",2009,"281. BMC Neurol. 2009 Feb 10;9:6. "
"282",2009,"282. BMC Cardiovasc Disord. 2009 Jan 28;9:5. "
"283",2009,"283. J Am Coll Cardiol. 2009 Jan 27;53(4):316-22. "
"284",2008,"284. Anesthesiology. 2008 Dec;109(6):1023-35. "
"285",2008,"285. J Interv Cardiol. 2008 Dec;21(6):459-82. "
"286",2008,"286. Sleep Med. 2008 Oct;9(7):715-26. "
"287",2008,"287. Ann Epidemiol. 2008 Aug;18(8):614-27. "
"288",2008,"288. CMAJ. 2008 Jul 15;179(2):135-44. "
"289",2008,"289. BMC Med Genet. 2008 Jun 27;9:55. "
"290",2008,"290. Br J Cancer. 2008 Jun 17;98(12):1934-43. "
"291",2008,"291. J Vasc Surg. 2008 Jun;47(6):1364-1370. "
"292",2008,"292. BMJ. 2008 May 3;336(7651):1006-9. "
"293",2008,"293. Am J Hum Genet. 2008 Apr;82(4):859-72. "
"294",2008,"294. BMC Genomics. 2008 Feb 26;9:98. "
"295",2008,"295. J Am Coll Cardiol. 2008 Jan 1;51(1):37-45. "
"296",2008,"296. J Biopharm Stat. 2008;18(6):1063-83. "
"297",2008,"297. J Cardiometab Syndr. 2008 Winter;3(1):45-52"
"298",2007,"298. Am J Trop Med Hyg. 2007 Dec;77(6):1005-9"
"299",2007,"299. BMJ. 2007 Nov 3;335(7626):925. Epub 2007 Oct 11"
"300",2007,"300. Am J Epidemiol. 2007 Oct 1;166(7):741-51. Epub 2007 Aug 4"
"301",2007,"301. Gynecol Oncol. 2007 Oct;107(1 Suppl 1):S133-7"
"302",2007,"302. Heart. 2007 Oct;93(10):1244-50. Epub 2007 Feb 3"
"303",2007,"303. Scand J Work Environ Health. 2007 Oct;33(5):325-35"
"304",2007,"304. Stat Med. 2007 Sep 10;26(20):3700-21"
"305",2007,"305. Stat Med. 2007 Sep 10;26(20):3681-99"
"306",2007,"306. Curr Med Res Opin. 2007 Sep;23(9):2283-95"
"307",2007,"307. Obes Rev. 2007 Sep;8(5):385-94"
"308",2007,"308. Am J Gastroenterol. 2007 Aug;102(8):1799-807. Epub 2007 Apr 24"
"309",2007,"309. Diabetes Care. 2007 Aug;30(8):2070-6. Epub 2007 Apr 6"
"310",2007,"310. J Clin Epidemiol. 2007 May;60(5):431-9. Epub 2007 Feb 5"
"311",2007,"311. Bone. 2007 Apr;40(4):813-20. Epub 2006 Dec 18"
"312",2007,"312. J Clin Epidemiol. 2007 Apr;60(4):336-44. Epub 2006 Oct 23"
"313",2007,"313. Stat Med. 2007 Feb 28;26(5):1150-69"
"314",2006,"314. Am J Obstet Gynecol. 2006 Oct;195(4):1163-73"
"315",2006,"315. Int J Technol Assess Health Care. 2006 Fall;22(4):484-96"
"316",2006,"316. Invest Ophthalmol Vis Sci. 2006 Oct;47(10):4254-61"
"317",2006,"317. Stat Med. 2006 Sep 15;25(17):2886-910"
"318",2006,"318. JAMA. 2006 Aug 9;296(6):679-90"
"319",2006,"319. PLoS Med. 2006 Aug;3(8):e272"
"320",2006,"320. Am J Epidemiol. 2006 May 1;163(9):811-7. Epub 2006 Mar 22"
"321",2006,"321. Br J Surg. 2006 May;93(5):539-46"
"322",2006,"322. Curr Med Res Opin. 2006 Apr;22(4):671-81"
"323",2006,"323. HIV Med. 2006 Apr;7(3):173-80"
"324",2006,"324. J Bone Miner Res. 2006 Feb;21(2):340-9"
"325",2006,"325. Vaccine. 2006 Jan 16;24(3):272-9. Epub 2005 Aug 18"
"326",2006,"326. Clin Trials. 2006;3(2):73-90; discussion 91-8"
"327",2006,"327. J Womens Health (Larchmt). 2006 Jan-Feb;15(1):98-105"
"328",2005,"328. Stat Med. 2005 Dec 30;24(24):3823-44"
"329",2005,"329. Stat Med. 2005 Dec 30;24(24):3845-61"
"330",2005,"330. BMC Musculoskelet Disord. 2005 Jul 11;6:39"
"331",2005,"331. BMC Cardiovasc Disord. 2005 Jul 4;5:19"
"332",2005,"332. Biostatistics. 2005 Jul;6(3):450-64. Epub 2005 Apr 14"
"333",2005,"333. Radiology. 2005 Jul;236(1):85-94. Epub 2005 Jun 13"
"334",2005,"334. Am J Clin Nutr. 2005 Mar;81(3):702-13"
