,database,number,year,code,data,software,ancestors,LuAdes2006,LuAdes04,Caldwell05,DiasSutton13,Lumley02,DSU,Salanti11,Salanti08,SpiegAbrams04,ISPOR,Sutton08,Reitsma05,SmithSpieg95,AdesScul06,WarnThomp02,Gelman06,BDA,Other,problem,success,model,priors,freq_and_bayes,justified,year,citation
11,medline,11,2015, no, no, WinBUGS 1.4, only Salanti J Clin Epidemiol 2011;64:163-71.,,,,,,,1,,,,,,,,,,,, nma, yes, nma, not stated, no,,2015,11. Medicine (Baltimore). 2015 Mar;94(11):e595. 
12,medline,12,2015, no, yes, WinBUGS, none,,,,,,,,,,,,,,,,,,, nma, yes, nma, not stated, yes, direct & indirect comparisons,2015,12. Medicine (Baltimore). 2015 Mar;94(10):e510. 
13,medline,13,2015, no, yes, OpenBUGS, Spiegelhalter et al HTA 2000,,,,,,,,,,,,,,,,,,1, standard MA, yes," ""hierarchical Bayesian random-effects model"""," non-informative: mean HR [log?] N(0,1e6); tau^2 inv-gamma(1e-4,1e-4)", no,,2015,13. Lancet. 2015 Feb 28;385(9970):792-8. 
14,medline,15,2015, yes, yes, OpenBUGS," Caldwell 2005; Lu & Ades 2004; Wells, Sultan, Chen et al 2009",,1,1,,,,,,,,,,,,,,,1, nma, yes, nma," ""vague"": N(0,1e-4), U(0,5) (NICE DSU code)", no; direct comparisons were done in the same Bayesian model framework,,2015,15. BMJ. 2015 Feb 5;350:h217. 
15,medline,16,2015, no, no, OpenBUGS, Jansen BMC MedResMeth 2011;11:61.,,,,,,,,,,,,,,,,,,1, nma, yes," nma but for HRs ""a multi-dimensional treatment effect approach was used as an alternative to a NMA of survival data"" (?) plus fractional polynomials"," ""non-informative""", no,,2015,16. Cancer Treat Rev. 2015 Feb;41(2):77-93. 
16,medline,17,2015, yes, no, JAGS, none,,,,,,,,,,,,,,,,,,, nma, yes, nma," log-OR N(0,1e-5); tau (SD) U(0,10)", no,,2015,17. Gastroenterology. 2015 Feb;148(2):344-54.e5; quiz e14-5. 
17,medline,18,2015, yes, no, WinBUGS, Lu & Ades 2004,,1,,,,,,,,,,,,,,,,, nma, yes, nma," coefficients N(0,1e-4); tau (SD) N(0,1)I(0,1) (truncated half-normal, strongly informative)", yes, direct and indirect,2015,18. Osteoarthritis Cartilage. 2015 Feb;23(2):189-202. 
18,medline,19,2015, no, no, OpenBUGS, Dias et al Med Decis Making 2013; Salanti Res Synth Meth 2012;Smith Spiegelhalter Thomas 1995; Lu & Ades 2004; Cipriani Higgins et al 2013,,1,,1,,,,,,,,,1,,,,,1, nma, yes, nma," ""non-informative""", no,,2015,19. Ann Intern Med. 2015 Jan 6;162(1):46-54. 
19,medline,21,2015, yes, no, WinBUGS 1.4.3, Lu & Ades,,1,,,,,,,,,,,,,,,,, nma, yes, nma," ""non-informative""", yes, direct and indirect,2015,21. Gastroenterology. 2015 Jan;148(1):64-76.e2; quiz e14. 
20,medline,22,2015, no, no, R 3.1.1 'inla' package, PLoS Negl Trop Dis 2013; 7: e2213.,,,,,,,,,,,,,,,,,,1, geotagged survey data, yes," ""geostatistical meta-analysis""", not stated, no,,2015,22. Lancet Infect Dis. 2015 Jan;15(1):74-84. 
21,medline,23,2015, yes, yes, WinBUGS 1.4.3," Spiegelhalter, Abrams, Myles ; Caldwell Ades Higins; Jansen et al 2008 ; Schmitz Adams Walsh 2013 ; StatMed2005;24:2401â€“28.",,,1,,,,,,1,,,,,,,,,1, methodological with applied example, yes, 3-level nma," ""vague"": ~dnorm(0.0,0.001) and  ~ dunif(0,5)", no,,2015,23. Value Health. 2015 Jan;18(1):116-26. 
22,medline,24,2014, no, no, MANTRA," Morris, A.P. (2011) Transethnic meta-analysis of genomewide association studies. Genet. Epidemiol., 35, 809â€“822",,,,,,,,,,,,,,,,,,1, genomic: ethnic heterogeneity in GWAS data/stats, yes," ""trans-ethnic meta-analysis""", not stated," probably: ""To determine how consistent the MANTRA results are across studies, a random-effects MA was also performed using METAL.""", see above - not entirely clear,2014,24. Hum Mol Genet. 2014 Dec 20;23(25):6944-60. 
23,medline,25,2014, no, no, geMTC," Mills EJ, Thorlund K, Ioannidis JP. Demystifying trial networks and network meta-analysis. BMJ 2013; 346: f2914",,,,,,,,,,,,,,,,,,1, nma, yes, nma," ""vague""", yes," direct and indirect, and questionably: ""The agreement between the standard pairwise analysis and MTC results, along with the consistency between direct and indirect comparisons, add weight to the methods used.""",2014,25. Am J Transplant. 2014 Dec;14(12):2765-76. 
24,medline,26,2014, no, no, WinBUGS 1.4.3, Lu & Ades,,1,,,,,,,,,,,,,,,,, nma, yes, nma, not stated, yes, direct and indirect,2014,26. Mayo Clin Proc. 2014 Dec;89(12):1621-35. 
25,medline,27,2014, yes, no, RStan," Sutton & Abrams 2001, and in terms of the half-Cauchy: Gelman, A. (2006). Prior distributions for variance parameters in hierarchical models. Bayesian Analysis, 1(3), 515â€“534.",,,,,,,,,,,,,,,,1,,1, RE MA & meta-regression, yes," meta-regression ""A Bayesian random-effects meta-analysis was conducted with cognitive construct and PTSD symptoms explored as moderators"""," diffuse: N(0,1000) & half-Cauchy(0,1)", no,,2014,27. Neuropsychol Rev. 2014 Dec;24(4):428-44. 
26,medline,29,2014, no, no, JAGS," SMith, Spiegelhalter, Thomas 1995; Lu, Ades 2004; Higgins, Whitehead 1996; Gelman 2006",,1,,,,,,,,,,,1,,,1,,, nma, yes, nma, no, yes," no: ""For comparison, frequentist random-effects meta- analyses (DerSimonianâ€“Laird method [23]) were also done""",2014,29. Ann Intern Med. 2014 Nov 18;161(10):724-32. 
27,medline,31,2014, no but enough algebra to reconstruct, no, no, Whitehead 2002 ; Carlin & Louis 2009,,,,,,,,,,,,,,,,,,, time series of pollution vs stroke, yes," sensitivity analysis comparing normal vs gamma for ""risks"" (?)"," diffuse N(0,1000), Inv-gamma(0.001,0.001)", yes,,2014,31. Epidemiology. 2014 Nov;25(6):835-42. 
28,medline,32,2014, no but enough algebra to recreate, no," JAGS 3.3, R 3.0.2"," Rudnicka AR, Mt-Isa S, Owen CG, et al. Variations in primary open-angle glaucoma prevalence by age, gender, and race: a Bayesian meta-analysis. Invest Ophthalmol Vis Sci 2006;47: 4254â€“61. ; McCarron CE, Pullenayegum EM, Thabane L, et al. Bayesian hierarchical models combining different study types and adjusting for covariate imbalances: a simulation study to assess model performance. PLoS One [serial online] 2011;6:e25635. ; Rudnicka AR, Jarrar Z, Wormald R, et al. Age and gender variations in age-related macular degeneration prevalence in populations of European ancestry: a meta-analysis. Ophthal- mology 2012;119:571â€“80.",,,,,,,,,,,,,,,,,,1, meta-analysis and meta-regression, yes, hierarchical model and meta-regression," diffuse e.g. N(0,10000)", no,,2014,32. Ophthalmology. 2014 Nov;121(11):2081-90. 
29,medline,33,2014, yes, no, WinBUGS 1.4.3, Dias Sutton Ades 2013; NICE DSU,,,,1,,1,,,,,,,,,,,,, nma, yes, nma," diffuse N(0,10000) U(0,150)", yes, direct and indirect,2014,33. Syst Rev. 2014 Oct 30;3:130. 
30,medline,34,2014, no, no, no, none relevant,,,,,,,,,,,,,,,,,,, genetic variants - treatment outcome interaction, yes, not totally clear, not stated, yes," yes, the Bayes is just part of a bigger predictive process",2014,34. Angiogenesis. 2014 Oct;17(4):909-20. 
31,medline,35,2014, no, no, WinBUGS 14," Dendukuri, N., Joseph, L., 2001. Bayesian approaches to modeling the conditional dependence between multiple diagnostic tests. Biometrics 57, 158â€“167. ; Branscum, A.J., Gardner, I.A., Johnson, W.O., 2005. Estimation of diagnostic-test sensitivity and specificity through Bayesian modeling. Prev. Vet. Med. 68, 145â€“ 163. ; Pepe, M.S., Janes, H., 2007. Insights into latent class analysis of diagnostic test performance. Biostatistics 8, 474â€“484.",,,,,,,,,,,,,,,,,,1, no gold standard for diagnostics, yes, Bayesian latent class analysis for diagnostics," uninformative Beta(1,1)", no,,2014,35. Int J Parasitol. 2014 Oct 1;44(11):765-74. 
32,medline,36,2014, no, no, WinBUGS 1.4.3, Lu & Ades,,1,,,,,,,,,,,,,,,,, nma, yes, nma," ""Non-informative priors were used throughout the analyses""", no,,2014,36. J Clin Periodontol. 2014 Oct;41(10):1015-25. 
33,medline,37,2014, no, no, WinBUGS 1.4.3, Lu & Ades 2004 ; Jansen Crawford et al 2008,,1,,,,,,,,,,,,,,,,, nma, yes, nma," ""vague""", no,,2014,37. J Crit Care. 2014 Oct;29(5):706-10. 
34,medline,38,2014, no, no, WinBUGS 1.4.3, kitchen-sink referencing: Bucher Guyatt Griffth ; Eddy Hasselblad Schachter ; Lumley 2002 ; Nixon Bansback Brennan ; Salanti Dias WElton ; Salanti Ades Ioannides ; Lu Ades 2004 ; Lu Ades 2006 ; Dias Welton Caldwell Ades ; Hong Carlin 2013,1,1,,,,,1,,,,,,,,,,,1, mtc, yes, mtc," diffuse N(0,10000) U(0,5) U(0,10)", no,,2014,38. Med Decis Making. 2014 Oct;34(7):899-910. 
35,medline,39,2014,  no, no, WinBUGS 1.4, CAldwell Ades Higgins 2005,,,1,,,,,,,,,,,,,,,, nma, yes, nma, not stated, yes, direct and indirect,2014,39. J Natl Cancer Inst. 2014 Sep 15;106(9). pii: dju203. 
36,medline,40,2014, no, no, WinBUGS 1.4, Lu Ades 2006,1,,,,,,,,,,,,,,,,,," nma, meta-regression", yes," ""a series of random-effects network meta-analyses with meta-regression""", not stated, yes, direct and indirect,2014,40. JAMA. 2014 Sep 3;312(9):923-33. 
37,medline,41,2014, no, no, no, none,,,,,,,,,,,,,,,,,,, nma, yes," ""Bayesian fixed-effects model by using a complementary log-log link function to account for varying lengths of follow-up""", not stated, yes, direct and indirect,2014,41. Am J Clin Nutr. 2014 Sep;100(3):746-55. 
38,medline,42,2014, no, no, WinBUGS 1.4.3, Dias Sutton Ades Welton 2013,,,,1,,,,,,,,,,,,,,, nma, yes, nma, not stated, yes, direct and indirect,2014,42. Diabetologia. 2014 Sep;57(9):1789-97. 
39,medline,43,2014, no, no, WinBUGS 1.4.3, Spiegelhalter Abrams Myles 2004,,,,,,,,,1,,,,,,,,,, meta-regression, yes," ""Bayesian univariate and bivariate meta-analyses"" - with slopes", non-informative but with sensitivity analysis among 4 between-study tau priors (all uniforms), no,,2014,43. J Clin Endocrinol Metab. 2014 Sep;99(9):3070-9. 
40,medline,44,2014, no, no, WinBUGS 1.4.3, Jansen 2008 ; Lu Ades 2004 ; Dias 2013,,1,,1,,,,,,,,,,,,,,1, nma, yes, nma," ""non-informative"": N(0,10000) and U ""sufficiently large""", no,,2014,44. CNS Drugs. 2014 Aug;28(8):699-712. 
41,medline,45,2014, no, yes, no, report of the ispor task force (Value Health 2011;14:417-28&429-37.),,,,,,,,,,1,,,,,,,,," nma, reporting prob of each tx being best", yes, nma + meta-regression (logistic and linear for diff outcomes), 'uninformed' + some change to explore assumptions about tau (no clearer than that; details form authors on request), yes, pairwise and multiple comparisons; pairwise is to allow comparison with previously published MA,2014,45. Curr Med Res Opin. 2014 Aug;30(8):1473-87. 
42,medline,46,2014, no, no, WinBUGS 1.4.3," Welton NJ, Caldwell DM, Adamopoulos E, Vedhara 2009 ; Welton NJ, Sutton AJ, Cooper NJ, Abrams KR, Ades AE. Evidence synthesis for decision making in healthcare. Chichester, UK: John Wiley & Sons, Ltd; 2012.",,,,,,,,,,,,,,,,,,1, nma, yes, nma," ""non-informative"": N(0,1000) and U ""appropriately large""", no,,2014,46. Lung Cancer. 2014 Aug;85(2):230-8. 
43,medline,47,2014, yes, no, WinBUGS 1.4.3," Spiegelhalter DJ, Best NG. Bayesian approaches to multiple sources of evidence and uncertainty in complex cost- effectiveness modelling. Stat Med 2003;22:3687e709.",,,,,,,,,,,,,,,,,,1, nma, yes, nma," diffuse for effects N(0,10000) but half normal (0,1) for SD and random effects seem inappropriately assigned a diffuse prior with no tau hyperprior", yes, no,2014,47. Osteoarthritis Cartilage. 2014 Aug;22(8):1090-9. 
44,medline,48,2014, no, yes, WinBUGS," ISPOR parts 1 and 2, Lu Ades 2004, Caldwell Ades Higgins 2005",,1,1,,,,,,,1,,,,,,,,, nma, yes, nma," N(0,10000) U(0,6) U(0,20)", no,,2014,48. Health Qual Life Outcomes. 2014 Jul 3;12:102. 
45,medline,49,2014,,, WinBUGS 1.4.3, Caldwell Ades Higgins 2005 ; Lu Ades 2004 ; Bucher Guyatt Griffith Walter 1997,,1,1,,,,,,,,,,,,,,,1, itc, yes, itc," ""decided a priori to stabilize the heterogeneity estimation by using heterogeneity variance priors empirically established by Turner et al."" (Turner RM, Davey J, Clarke M, Thompson S, Higgins JP. Predicting the extent of heterogeneity in meta-analysis, using empirical data from the Cochrane Database of Systematic Reviews. Int J Epidemiol 2012;41(3):818â€“27.)", no,,2014,49. J Crohns Colitis. 2014 Jul;8(7):571-81. 
46,medline,50,2014, yes, yes, JAGS," Woods BS, Hawkins N, Scott DA. Network meta-analysis on the log-hazard scale, combining count and hazard ratio statistics accounting for multi-arm trials: a tutorial. BMC Med Res Methodol 2010;10:54.",,,,,,,,,,,,,,,,,,1, nma + biases in one study, yes," nma; ""Multiple sensitivity analyses were performed to explore biases identified in one trial using original trial data"" but not detailed in the code appendix."," N(0,100000) U(0,10)", no,,2014,50. Joint Bone Spine. 2014 Jul;81(4):337-41. 
47,medline,51,2014, no, no, WinBUGS 1.4," Salanti Higgins et al 2008 ; Jansen JP, Crawford B, Bergman G, Stam W: Bayesian meta-analysis of multiple treatment comparisons: an introduction to mixed treatment comparisons. Value Health 2008, 11(5):956â€“64.",,,,,,,,1,,,,,,,,,,1, nma, yes, nma," ""vague"" ""such as"" N(0,10000)", no,,2014,51. BMC Cancer. 2014 Jun 27;14:471. 
48,medline,52,2014, no, no, WinBUGS 1.4, Lu Ades 2004 ; NICE DSU 2011 ; Higgins Whitehead 2011,,1,,,,1,,,,,,,,,,,,1, nma, yes," ""bayesian random effects Poisson regression model"""," ""The prior distribution for treatment effects was minimally informative: a normal distribution with a mean of 1 and a 95% reference range from 0.01 to 100 on a rate ratio scale. The prior for the between trial variance Ï„2, which we assumed to be equal across comparisons, was based on empirical evidence derived from semi-objective outcomes of head to head comparisons40: a log normal distribution with a geometric mean of Ï„2 of 0.04 and a 95% reference range from 0.001 to 1.58.""", no,,2014,52. BMJ. 2014 Jun 23;348:g3859. 
49,medline,53,2014, no, no, GeMTC," van Valkenhoef G, Guobing L, de Brock B, et al. Automating network meta-analysis. Research Synthesis Methods 2012; 3: 285â€“99.",,,,,,,,,,,,,,,,,,1, nma, yes, nma," ""non-informative""", yes, direct and indirect,2014,53. Aliment Pharmacol Ther. 2014 Jun;39(12):1349-62. 
50,medline,54,2014, no, uncertain, WinBUGS 1.4.3, none relevant,,,,,,,,,,,,,,,,,,, standard MA, yes," Bayes, Peto and M-H", not stated, yes, not clear - to compare with Peto and M-H pooled odds ratios?,2014,54. Chest. 2014 Jun;145(6):1286-97
51,medline,55,2014, no, yes, WinBUGS, Salanti SMMR2008;17:279-301.,,,,,,,,1,,,,,,,,,,1," nma, reporting prob of each tx being best", yes," multiple treatments meta analysis (""MTM"")", not mentioned, yes, not stated,2014,55. Curr Med Res Opin. 2014 Jun;30(6):971-95. 
52,medline,56,2014, NICE DSU, no, WinBUGS," Lumley, 2002; Lu & Ades, 2004; Ades et al., 2007",,1,,,1,,,,,,,,,,,,,1, nma, yes, nma, NICE DSU, yes, direct and indirect,2014,56. J Hum Nutr Diet. 2014 Jun;27(3):280-97. 
53,medline,58,2014, no, no, WinBUGS 1.4.3, Lu Ades 2004 ; Salanti 2011 ; Smith Spiegelhalter Thomas 1995,,1,,,,,1,,,,,,1,,,,,, nma, yes," ""We used Bayesian hierarchical random effects models,38 fully preserving randomised treatment effects within trials and accounting for correlation between comparisons within multiarm trials.39 Adjusting for patient years under all situations, we used a log-linear Poisson model (exacerbation rate ratios) to analyse the number of exacerbations and a logistic model (odds ratios) with complementary log-log link function to analyse the numbers of patients with at least one exacerbation and the number of study withdrawals.""", not stated, yes, direct and indirect,2014,58. BMJ. 2014 May 13;348:g3009. 
54,medline,59,2014, no, yes, no, NICE DSU,,,,,,1,,,,,,,,,,,,, nma, yes, nma, not stated, no,,2014,59. Diabetes Obes Metab. 2014 May;16(5):433-42. 
55,medline,60,2014, no, no, WinBUGS 1.4.3, Lu Ades 2004,,1,,,,,,,,,,,,,,,,, nma, yes, nma," ""non-informative""", no,,2014,60. Eur Heart J. 2014 May;35(17):1147-58. 
56,medline,61,2014, no, no, WinBUGS 1.4.3, Ades Sculpher Sutton et al 2006 ; Lu Ades 2004,,1,,,,,,,,,,,,1,,,,1, mtc, yes, mtc, not stated, no,,2014,61. Eur J Health Econ. 2014 May;15 Suppl 1:S45-52. 
57,medline,63,2014, no, no, no," Robinson JG, Wang S, Jacobson TA. Meta-analysis of comparison of effec- tiveness of lowering apolipoprotein B versus low-density lipoprotein choles- terol and non-high-density lipoprotein cholesterol for cardiovascular risk reduction in randomized trials. Am J Cardiol. 2012;110:1468â€“1476.",,,,,,,,,,,,,,,,,,1, MA with some kind of causal pathway / mediation analysis, yes," ""Bayesian meta-analysis""", not clear except sensitivity analysis on priors for correlation, yes, not clear,2014,63. J Am Heart Assoc. 2014 Apr 14;3(2):e000759. 
58,medline,64,2014, no, yes, GeMTC, Higgins Thompson Deeks Altman 2003,,,,,,,,,,,,,,,,,,1, nma, yes, nma," ""a non-informative uniform prior distribution of effect sizes and precision was used""", yes, direct and indirect,2014,64. Aliment Pharmacol Ther. 2014 Apr;39(7):660-71. 
59,medline,65,2014, yes, no, WinBUGS 1.4.3," Mills EJ, Ioannidis JP, Thorlund K, et al. How to use an article reporting a multiple treatment comparison meta- analysis. JAMA 2012; 308: 1246â€“1253. ; Mills EJ, Bansback N, Ghement I, et al. Multiple treat- ment comparison meta-analyses: A step forward into complexity. Clin Epidemiol 2011; 3: 193â€“202.",,,,,,,,,,,,,,,,,,1, mtc, yes, mtc," N(0,1000) U(0,2)", yes, direct and indirect,2014,65. Cephalalgia. 2014 Apr;34(4):258-67. 
60,medline,66,2014, no, no, SAS PROC MCMC, Menke J (2013) Bivariate random-effects meta-analysis of sen- sitivity and specificity with the Bayesian SAS PROC MCMC: methodology and empirical evaluation in 50 meta-analyses. Med Decis Making; Published online 8 Mar 2013,,,,,,,,,,,,,,,,,,1," ""tri-variate MA"": diagnostic tests classifying into three categories", yes," ""Bivariate and trivariate Bayesian random-effects models""",  diffuse though not completely stated, yes," yes, 2 vs 3 categories, but why not have everything in Bayes?",2014,66. J Neurol. 2014 Apr;261(4):655-62. 
61,medline,67,2014, no, no, WinBUGS 1.4.3, Dias Sutton Ades Welton 2013 ; NICE DSU,,,,1,,1,,,,,,,,,,,,, nma, yes," possibly NICE DSU. nma + ""Extensive sensitivity, meta-regression, and network consistency analyses"""," ""Minimally informative""", no,,2014,67. J Vasc Surg. 2014 Apr;59(4):1123-1133.e8. 
62,medline,68,2014, no, no, WinBUGS 1.4.3 and GeMTC, ISPOR part 2,,,,,,,,,,1,,,,,,,,, nma, yes, nma," ""A noninformative flat prior""", yes, direct and indirect,2014,68. Osteoporos Int. 2014 Apr;25(4):1225-35. 
63,medline,69,2014, no, no, WinBUGS, NICE DSU,,,,,,1,,,,,,,,,,,,, nma, yes, nma ?NICE DSU," ""vague""", yes, not clear,2014,69. BMJ. 2014 Mar 31;348:g2197. 
64,medline,71,2014, no, no, WinBUGS 1.4.3, none,,,,,,,,,,,,,,,,,,, nma, yes, nma," ""non-informative""", yes, direct and indirect,2014,71. Int J Cardiol. 2014 Mar 15;172(2):375-80. 
65,medline,72,2014, no, yes, WinBUGS 1.4.3, NICE DSU,,,,,,1,,,,,,,,,,,,, itc, yes," ""adapted"" NICE DSU: ""frequentist meta-analysis, meta-regression, and indirect comparison were performed using the DerSimonian-Laird and Bucher methods. Bayesian analyses with and without adjustment for study-level covariates"""," ""noninformative priors""", yes," not clear, as both did indirect comparisons",2014,72. BMC Musculoskelet Disord. 2014 Mar 11;15:76. 
66,medline,73,2014, no, yes, WinBUGS, Lu & Ades 2004,,1,,,,,,,,,,,,,,,,, nma, mixed, random, not mentioned, yes, 'to determine the relative efficacy and safety',2014,73. Curr Med Res Opin. 2014 Mar;30(3):367-80. 
67,medline,75,2014, no, yes, GeMTC, Lumley 2002,,,,,1,,,,,,,,,,,,,, nma, yes, nma," ""GeMTC automatic- ally specified vague prior distributions for the trial baseline effects, the relative effects (normal with mean 0 and SD 37.5), and the random effects SD (uniform in the interval 0â€“2.5).""", yes, direct and indirect,2014,75. Heart. 2014 Mar;100(5):396-405. 
68,medline,76,2014, no, no, Fast*Pro, Eddy 1989,,,,,,,,,,,,,,,,,,1," MA of prevalence and incidence but what rationale??? ""Instead of a frequentist or classic statistical approach, we used a Bayesian model because we evaluated a proportion meta- analysis, and the Bayesian model deals more adequately with heterogeneity than the classic random model""", yes, random effects MA, none stated, no,,2014,76. J Clin Endocrinol Metab. 2014 Mar;99(3):923-31. 
69,medline,77,2014, no, yes, WinBUGS," SMith Spiegelhalter Thomas 1995 ; Sutton Abrams 2001 ; Higgins Whitehead 1996 ; Lambert PC, Sutton AJ, Burton PR, Abrams KR, Jones DR. How vague is vague? A simulation study of the impact of the use of vague prior distributions in MCMC using WinBUGS. Stat Med. 2005;24: 2401â€“2428.",,,,,,,,,,,,,1,,,,,1, standard MA but including observation studies alongside RCTs, yes," ""Classical and Bayesian random-effects meta-analyses"""," variety, with well-informed sensitivity analysis", yes, yes,2014,77. J Clin Endocrinol Metab. 2014 Mar;99(3):757-67. 
70,medline,79,2014, no, yes, WinBUGS, none,,,,,,,,,,,,,,,,,,, standard MA, yes," ""Bayesian hierarchical models"""," ""noninformative""", no,,2014,79. EuroIntervention. 2014 Feb;9(10):1225-34. 
71,medline,80,2014, no, yes, WinBUGS, Lu Ades 2004,,1,,,,,,,,,,,,,,,,, mtc, yes, mtc, not stated, yes, direct and indirect,2014,80. Pain Pract. 2014 Feb;14(2):167-84. 
72,medline,81,2014, no, yes, WinBUGS 1.4.1," NICE DSU ; Rodgers M, Epstein D, Bojke L, Yang H, Craig D, Fonseca T, et al: Etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis: a systematic review and economic evaluation. Health Technol Assess 2011, 15(10):1â€“329. February 2011.",,,,,,1,,,,,,,,,,,,1, mtc, yes, mtc," ""uninformative""", no,,2014,81. BMC Musculoskelet Disord. 2014 Jan 20;15:26. 
73,medline,82,2014, no, no," Stata, apparently", none,,,,,,,,,,,,,,,,,,, MA of prevalence studies, yes," classical meta-analysis + adjustment with ""Bayesian analysis"" (?)", none mentioned, not clear, not clear,2014,82. Acta Med Iran. 2014;52(4):256-64
74,medline,83,2014, no, yes, WinBUGS 1.4.3, NICE DSU ; ISPOR parts 1 and 2,,,,,,1,,,,1,,,,,,,,, nma, yes, nma fixed-effects, not stated, no,,2014,83. Breast Cancer Res Treat. 2014 Jan;143(1):125-33. 
75,medline,84,2014, no, yes, WinBUGS 1.4.3, NICE DSU,,,,,,1,,,,,,,,,,,,, nma, yes, nma," N(0,10000) U(sufficiently large)", yes, no,2014,84. Drug Saf. 2014 Jan;37(1):19-31. 
76,medline,85,2014, no, no, WinBUGS 1.4.3, NICE DSU,,,,,,1,,,,,,,,,,,,, nma, yes, nma, not stated, no,,2014,85. Hum Vaccin Immunother. 2014;10(5):1421-4. 
77,medline,86,2014, no, no, WinBUGS 1.4.3, Lu Ades 2004 ; Jansen Crawford Bergman Stam 2008,,1,,,,,,,,,,,,,,,,1, nma, yes, nma," ""vague""", not clear, not clear,2014,86. Int J Chron Obstruct Pulmon Dis. 2014 May 12;9:469-79. 
78,medline,87,2014, no, yes, ADDIS 1.16.3," D.H. Tang, D.C. Malone, A network meta-analysis on the efficacy of serotonin type 3 receptor antagonists used in adults during the first 24 hours for postoperative nausea and vomiting prophylaxis, Clinical Therapeutics 34 (2012) 282e294.",,,,,,,,,,,,,,,,,,1, nma and mtc (?), yes, nma and mtc (?)," ""minimally informative""", yes, no,2014,87. Int J Surg. 2014;12(5):516-22. 
