"","pubyear","citations"
"14",2005,"(includes abstract) Mariappan P; Alhasso AA; Grant A; N'Dow JM; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"15",2005,"(includes abstract) Smeulders MJ; Coester A; Kreulen M; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"16",2005,"(includes abstract) Somboonporn W; Bell RJ; Davis SR; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) "
"17",2005,"(includes abstract) Glenny AM; Altman DG; Song F; Sakarovitch C; Deeks JJ; D'Amico R; Bradburn M; Eastwood AJ; Health Technology Assessment, 2005; 9 (26): ix-x, 1-144. (journal article - case study, forms, research, systematic review, tables/charts) "
"18",2005,"(includes abstract) Dinnes J; Deeks J; Kirby J; Roderick P; Health Technology Assessment, 2005; 9 (12): iii, ix-x, 1-128. (journal article - forms, review, tables/charts) "
"19",2005,"(includes abstract) Greenhalgh J; Knight C; Hind D; Beverley C; Walters S; Health Technology Assessment, 2005; 9 (9): iii-iv, ix-xi, 1-170. (journal article - review, tables/charts) "
"20",2005,"(includes abstract) Hartwell D; Colquitt J; Loveman E; Clegg AJ; Brodin H; Waugh N; Royle P; Davidson P; Vale L; MacKenzie L; Health Technology Assessment, 2005; 9 (17): iii, vii, ix-x passim. (journal article - research, systematic review, tables/charts) "
"21",2005,"(includes abstract) Newman DJ; Mattock MB; Dawnay ABS; Kerry S; McGuire A; Yaqoob M; Hitman GA; Hawke C; Health Technology Assessment, 2005; 9 (30): iii-iv, xiii-xvi, 1-163. (journal article - forms, glossary, research, systematic review, tables/charts) "
"22",2005,"(includes abstract) Bartlett C; Doyal L; Ebrahim S; Davey P; Bachmann M; Egger M; Dieppe P; Health Technology Assessment, 2005; 9 (38): iii-iv, ix-x, 1-152. (journal article - review, tables/charts) "
"23",2005,"(includes abstract) Bryant J; Brodin H; Loveman E; Payne E; Clegg A; Health Technology Assessment, 2005; 9 (36): iii, ix-x, 1-134. (journal article - research, systematic review, tables/charts) "
"24",2005,"(includes abstract) Dretzke J; Frew E; Davenport C; Barlow J; Stewart-Brown S; Sandercock J; Bayliss S; Raftery J; Hyde C; Taylor R; Health Technology Assessment, 2005; 9 (50): iii, ix-x, 1-233. (journal article - forms, glossary, research, systematic review, tables/charts) "
"25",2005,"(includes abstract) Fox GF; Sothinathan U; Infant, 2005 Jan; 1 (1): 8-12. (journal article - pictorial, review, tables/charts) "
"26",2005,"(includes abstract) Walker DF; McGovern SK; Poey EL; Otis KE; Journal of Child Sexual Abuse, 2005; 13 (3/4): 281-93. (journal article - research, systematic review, tables/charts) "
"27",2005,"(includes abstract) Issenberg SB; McGaghie WC; Petrusa ER; Gordon DL; Scalese RJ; Medical Teacher, 2005 Jan; 27 (1): 10-28. (journal article - research, systematic review, tables/charts) "
"28",2005,"(includes abstract) Hodges LJ; Humphris GM; Macfarlane G; Social Science & Medicine, 2005 Jan; 60 (1): 1-12. (journal article - research, systematic review, tables/charts) "
"29",2005,"(includes abstract) Fleming C; Whitlock EP; Beil TL; Lederle FA; Annals of Internal Medicine, 2005 Feb 1; 142 (3): 203-11, I-52. (journal article - research, systematic review, tables/charts) "
"30",2005,"(includes abstract) Bax L; Staes F; Verhagen A; Sports Medicine, 2005; 35 (3): 191-212. (journal article - research, systematic review, tables/charts) "
"31",2005,"(includes abstract) Geling O; Eichler H; Journal of Clinical Oncology, 2005 Feb 20; 23 (6): 1289-94. (journal article - research, systematic review, tables/charts) "
"32",2005,"(includes abstract) Patole SK; de Klerk N; Archives of Disease in Childhood -- Fetal & Neonatal Edition, 2005 Mar; 90 (2): F147-51. (journal article - research, systematic review, tables/charts) "
"33",2005,"(includes abstract) Hauer KE; Johns Hopkins Advanced Studies in Medicine, 2005 Mar; 5 (3): 140-9, 112-3. (journal article - algorithm, CEU, review, tables/charts) "
"34",2005,"(includes abstract) Jandeleit-Dahm KAM; Tikellis C; Reid CM; Johnston CI; Cooper ME; Journal of Hypertension, 2005 Mar; 23 (3): 463-73. (journal article - diagnostic images, pictorial, review, tables/charts) "
"35",2005,"(includes abstract) Goodell TT; Nail LM; Oncology Nursing Forum, 2005 Mar; 32 (2): Online Exclusive: E42-7. (journal article - research, systematic review, tables/charts) "
"36",2005,"(includes abstract) Knight K; Badamgarav E; Henning JM; Hasselblad V; Gano AD Jr.; Ofman JJ; Weingarten SR; American Journal of Managed Care, 2005 Apr; 11 (4): 242-50. (journal article - research, systematic review, tables/charts) "
"37",2005,"(includes abstract) Sohng KY; Choi JH; Song HH; Moon JS; Asian Journal of Nursing Studies, 2005 Apr; 8 (1): 3-15. (journal article - research, systematic review, tables/charts) "
"38",2005,"(includes abstract) Miller JD; Berger RL; Malthaner RA; Celli BR; Goldsmith CH; Ingenito EP; Higgins D; Bagley P; Cox G; Wright CD; CHEST, 2005 Apr; 127 (4): 1166-77. (journal article - research, systematic review, tables/charts) "
"39",2005,"(includes abstract) Bracha HS; Ralston TC; Williams AE; Yamashita JM; Bracha AS; CNS Spectrums: The International Journal of Neuropsychiatric Medicine, 2005 Apr; 10 (4): 311-8, 327-8. (journal article - CEU, exam questions, review) "
"40",2005,"(includes abstract) McLeod TCV; Journal of Athletic Training (National Athletic Trainers' Association), 2005 Apr-Jun; 40 (2): 123-5. (journal article - CEU, research, systematic review) "
"41",2005,"(includes abstract) Moles DR; Needleman IG; Niederman R; Lau J; Journal of Dental Research, 2005 Apr; 84 (4): 345-9. (journal article - research, systematic review, tables/charts) "
"42",2005,"(includes abstract) Walsh D; Downe S; Journal of Advanced Nursing, 2005 Apr; 50 (2): 204-11. (journal article - review) "
"43",2005,"(includes abstract) Furlan AD; van Tulder M; Cherkin D; Tsukayama H; Lao L; Koes B; Berman B; Spine (03622436), 2005 Apr 15; 30 (8): 944-63. (journal article - research, systematic review, tables/charts) "
"44",2005,"(includes abstract) Brooks D; O'Brien K; Geddes EL; Crowe J; Reid WD; Clinical Rehabilitation, 2005 May; 19 (3): 237-46. (journal article - research, systematic review, tables/charts) "
"45",2005,"(includes abstract) Ansari MT; Cheung BMY; Huang JQ; Eklof B; Karlberg JPE; Journal of Travel Medicine, 2005 May-Jun; 12 (3): 142-54. (journal article - research, systematic review, tables/charts) "
"46",2005,"(includes abstract) Masson LF; Sharp L; Cotton SC; Little J; American Journal of Epidemiology, 2005 May 15; 161 (10): 901-15. (journal article - research, systematic review, tables/charts) "
"47",2005,"(includes abstract) Mukaino Y; Park J; White A; Ernst E; Acupuncture in Medicine, 2005 Jun; 23 (2): 70-6. (journal article - research, systematic review, tables/charts) "
"48",2005,"(includes abstract) Founds SA; Birth: Issues in Perinatal Care, 2005 Jun; 32 (2): 137-44. (journal article - research, systematic review, tables/charts) "
"49",2005,"(includes abstract) Heffernan C; Jenkinson C; Chronic Illness, 2005 Jun; 1 (2): 131-42. (journal article - research, systematic review, tables/charts) "
"50",2005,"(includes abstract) Williams A; Girard C; Jui D; Sabina A; Katz DL; Clinical & Investigative Medicine, 2005 Jun; 28 (3): 132-9. (journal article - research, systematic review, tables/charts) "
"51",2005,"(includes abstract) Boothby LA; Doering PL; Clinical Therapeutics, 2005 Jun; 27 (6): 695-714. (journal article - research, systematic review, tables/charts) "
"52",2005,"(includes abstract) Bahamonde R; International SportMed Journal, 2005; 6 (2): 42-63. (journal article - pictorial, research, systematic review, tables/charts) "
"53",2005,"(includes abstract) van Dierendonck D; Te Nijenhuis J; Psychology & Health, 2005 Jun; 20 (3): 405-12. (journal article - research, systematic review, tables/charts) "
"54",2005,"(includes abstract) Nadkarni S; LaJoie J; Devinsky O; Neurology, 2005 Jun 28; 64 (12): Supplement 3: S2-11. (journal article - review, tables/charts) "
"55",2005,"(includes abstract) Patole S; Rao S; Doherty D; Archives of Disease in Childhood -- Fetal & Neonatal Edition, 2005 Jul; 90 (4): F301-6. (journal article - research, systematic review, tables/charts) "
"56",2005,"(includes abstract) Barwell N; Marshall G; McDougall C; Brady AJB; Fisher M; British Journal of Cardiology, 2005 Jul-Aug; 12 (4): 275-6, 278-80, 282. (journal article - research, systematic review, tables/charts) "
"57",2005,"(includes abstract) Bisset L; Paungmali A; Vicenzino B; Beller E; British Journal of Sports Medicine, 2005 Jul; 39 (7): 411-22. (journal article - commentary, questionnaire/scale, research, systematic review, tables/charts) "
"58",2005,"(includes abstract) Pakos EE; Ntzani EE; Trikalinos TA; Journal of Bone & Joint Surgery, American Volume, 2005 Jul; 87A (7): 1438-45. (journal article - research, systematic review, tables/charts) "
"59",2005,"(includes abstract) Kim Y; Soeken KL; Nursing Research, 2005 Jul-Aug; 54 (4): 255-64. (journal article - research, systematic review, tables/charts) "
"60",2005,"(includes abstract) Hess DR; Respiratory Care, 2005 Jul; 50 (7): 892-9. (journal article - review, tables/charts) "
"61",2005,"(includes abstract) Diaz E; Rodríguez AH; Rello J; Respiratory Care, 2005 Jul; 50 (7): 900-9. (journal article - pictorial, review, tables/charts) "
"62",2005,"(includes abstract) Hess DR; Respiratory Care, 2005 Jul; 50 (7): 924-31. (journal article - research, systematic review, tables/charts) "
"63",2005,"(includes abstract) Goodacre S; Sutton AJ; Sampson FC; Annals of Internal Medicine, 2005 Jul 19; 143 (2): 129-39, I40. (journal article - CEU, consumer/patient teaching materials, research, systematic review, tables/charts) "
"64",2005,"(includes abstract) Hughes JR; Carpenter MJ; Addiction, 2005 Aug; 100 (8): 1074-89. (journal article - research, systematic review, tables/charts) "
"65",2005,"(includes abstract) Bull M; International Journal of Drug Policy, 2005 Aug; 16 (4): 223-34. (journal article - research, systematic review, tables/charts) "
"66",2005,"(includes abstract) Frattarelli DAC; Journal of Clinical Pharmacology, 2005 Aug; 45 (8): 866-71. (journal article - review, tables/charts) "
"67",2005,"(includes abstract) Cuckle H; Benn P; Wright D; Seminars in Perinatology, 2005 Aug; 29 (4): 252-7. (journal article - research, systematic review, tables/charts) "
"68",2005,"(includes abstract) Lahaye MJ; Engelen SME; Nelemans PJ; Beets GL; van de Velde CJH; van Engelshoven JMA; Beets-Tan RGH; Seminars in Ultrasound CT & MRI, 2005 Aug; 26 (4): 259-68. (journal article - diagnostic images, research, systematic review, tables/charts) "
"69",2005,"(includes abstract) Passalacqua G; Guerra L; Fumagalli F; Compalati E; Canonica GW; Allergy & Clinical Immunology International, 2005 Sep-Oct; 17 (5): 181-5. (journal article - review, tables/charts) "
"70",2005,"(includes abstract) Ostaszkiewicz J; Ski C; Hornby L; Australian & New Zealand Continence Journal, 2005 Spring; 11 (3): 70, 72, 74-5 passim. (journal article - research, systematic review, tables/charts) "
"71",2005,"(includes abstract) Neri M; Ceppi M; Knudsen LE; Merlo DF; Barale R; Puntoni R; Bonassi S; Environmental Health Perspectives, 2005 Sep; 113 (9): 1226-9. (journal article - research, systematic review, tables/charts) "
"72",2005,"(includes abstract) Maltoni M; Caraceni A; Brunelli C; Broeckaert B; Christakis N; Eychmueller S; Glare P; Nabal M; Viganò A; Larkin P; et al.; Journal of Clinical Oncology, 2005 Sep 1; 23 (25): 6240-8. (journal article - research, systematic review, tables/charts) "
"73",2005,"(includes abstract) Clarke S; Robertson IT; Journal of Occupational & Organizational Psychology, 2005 Sep; 78 (3): 355-76. (journal article - meta analysis, research, systematic review, tables/charts) "
"74",2005,"(includes abstract) Bertua C; Anderson N; Salgado JF; Journal of Occupational & Organizational Psychology, 2005 Sep; 78 (3): 387-409. (journal article - meta analysis, research, systematic review, tables/charts) "
"75",2005,"(includes abstract) Chodosh J; Morton SC; Mojica W; Maglione M; Suttorp MJ; Hilton L; Rhodes S; Shekelle P; Annals of Internal Medicine, 2005 Sep 20; 143 (6): 427-38, I32. (journal article - consumer/patient teaching materials, research, systematic review, tables/charts) "
"76",2005,"(includes abstract); Homocysteine Lowering Trialists' Collaboration; American Journal of Clinical Nutrition, 2005 Oct; 82 (4): 806-12. (journal article - research, systematic review, tables/charts) "
"77",2005,"(includes abstract) Ciprani A; Pretty H; Hawton K; Geddes JR; American Journal of Psychiatry, 2005 Oct; 162 (10): 1805-19. (journal article - research, systematic review, tables/charts) "
"78",2005,"(includes abstract) Basso A; Aphasiology, 2005 Oct-Nov; 19 (10/11): 975-84. (journal article - review, tables/charts) "
"79",2005,"(includes abstract) Visbal AL; Leighl NB; Feld R; Shepherd FA; CHEST, 2005 Oct; 128 (4): 2933-43. (journal article - review, tables/charts) "
"80",2005,"(includes abstract) Lim I; van Wegen E; de Goede C; Deutekom M; Nieuwboer A; Willems A; Jones D; Rochester L; Kwakkel G; Clinical Rehabilitation, 2005 Oct; 19 (7): 695-713. (journal article - research, systematic review, tables/charts) "
"81",2005,"(includes abstract) Agras WS; Mascola AJ; Current Opinion in Pediatrics, 2005 Oct; 17 (5): 648-52. (journal article - review) "
"82",2005,"(includes abstract) Royle PL; Bain L; Waugh NR; Diabetic Medicine, 2005 Oct; 22 (10): 1386-93. (journal article - research, systematic review, tables/charts) "
"83",2005,"(includes abstract) De Ayala RJ; Vonderhaar-Carlson DJ; Kim D; Educational & Psychological Measurement, 2005 Oct; 65 (5): 836-50. (journal article - equations & formulas, research, systematic review, tables/charts) "
"84",2005,"(includes abstract) Palma S; Delgado-Rodriguez M; Journal of Epidemiology & Community Health, 2005 Oct; 59 (10): 864-9. (journal article - research, systematic review, tables/charts) "
"85",2005,"(includes abstract) Heymans MW; van Tulder MW; Esmail R; Bombardier C; Koes BW; Spine (03622436), 2005 Oct 1; 30 (19): 2153-63. (journal article - research, systematic review, tables/charts) "
"86",2005,"(includes abstract) Decock J; Paridaens R; Cufer T; Current Opinion in Oncology, 2005 Nov; 17 (6): 545-50. (journal article - review, tables/charts) "
"87",2005,"(includes abstract) Richardson G; Eick S; Jones R; Journal of Advanced Nursing, 2005 Nov; 52 (3): 328-39. (journal article - research, systematic review, tables/charts) "
"88",2005,"(includes abstract) Trudeau M; Charbonneau F; Gelmon K; Laing K; Latreille J; Mackey J; McLeod D; Pritchard K; Provencher L; Verma S; Lancet Oncology, 2005 Nov; 6 (11): 886-98. (journal article - pictorial, research, systematic review, tables/charts) "
"89",2006,"(includes abstract) Barrett RK; Omega: Journal of Death & Dying, 2005-2006; 52 (3): 249-61. (journal article - research, systematic review) "
"90",2005,"(includes abstract) Laskin JJ; Sandler AB; Oncology (08909091), 2005 Nov; 19 (13): 1671-6. (journal article - review, tables/charts) "
"91",2005,"(includes abstract) Solomon B; Mitchell JD; Bunn PA Jr.; Oncology (08909091), 2005 Nov; 19 (13): 1685-97. (journal article - review, tables/charts) "
"92",2005,"(includes abstract) Cook MB; Wild CP; Forman D; American Journal of Epidemiology, 2005 Dec 1; 162 (11): 1050-61. (journal article - research, systematic review, tables/charts) "
"93",2005,"(includes abstract) Jarry JL; Ip K; Body Image, 2005 Dec; 2 (4): 317-31. (journal article - research, systematic review) "
"94",2005,"(includes abstract) Lidral AC; Moreno LM; Current Opinion in Pediatrics, 2005 Dec; 17 (6): 731-9. (journal article - review, tables/charts) "
"95",2005,"(includes abstract) Barua P; O'Mahony MS; Drugs & Aging, 2005; 22 (12): 1029-59. (journal article - review, tables/charts) "
"96",2005,"(includes abstract) Niël-Weise BS; Willie JC; van den Broek PJ; Infection Control & Hospital Epidemiology, 2005 Dec; 26 (12): 923-8. (journal article - research, systematic review, tables/charts) "
"97",2005,"(includes abstract) Poolsup N; Leelasangaluk V; Jittangtrong J; Rithlamlert C; Ratanapantamanee N; Khanthong M; Journal of Clinical Pharmacy & Therapeutics, 2005 Dec; 30 (6): 521-32. (journal article - research, systematic review, tables/charts) "
"98",2005,"(includes abstract) Volpe M; Mancia G; Trimarco B; Journal of Hypertension, 2005 Dec; 23 (12): 2113-8. (journal article - research, systematic review, tables/charts) "
"99",2005,"(includes abstract) Maas T; Dompeling D; Van Schayck CP; Muris JWM; Schönberger HJA; Wesseling G; Platts-Mills TAE; Knottnerus JA; Pediatric Asthma, Allergy & Immunology, 2005 Winter; 18 (4): 201-15. (journal article - research, systematic review, tables/charts) "
"100",2006,"(includes abstract) Jones GL; Ledger W; Bonnett TJ; Radley S; Parkinson N; Kennedy SH; American Journal of Obstetrics & Gynecology, 2006 Jan; 194 (1): 26-42. (journal article - research, systematic review, tables/charts) "
"101",2006,"(includes abstract) Reisman J; Schachter HM; Dales RE; Tran K; Kourad K; Barnes D; Sampson M; Morrison A; Gaboury I; Blackman J; BMC Complementary & Alternative Medicine, 2006; 6: 26. (journal article - research, systematic review, tables/charts) "
"102",2006,"(includes abstract) Barlow JH; Ellard DR; Child: Care, Health & Development, 2006 Jan; 32 (1): 19-31. (journal article - review, tables/charts) "
"103",2006,"(includes abstract) Miner M; Rosenberg MT; Perelman MA; Clinical Therapeutics, 2006 Jan; 28 (1): 13-25. (journal article - questionnaire/scale, research, systematic review, tables/charts) "
"104",2006,"(includes abstract) Vale CL; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"105",2006,"(includes abstract) Van de Laar FA; Lucassen PL; Akkermans RP; Van de Lisdonk EH; De Grauw WJ; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"106",2006,"(includes abstract) Claudino AM; Silva de Lima M; Hay PP; Bacaltchuk J; Schmidt UU; Treasure J; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"107",2006,"(includes abstract) Shelley M; Harrison C; Coles B; Stafforth J; Wilt T; Mason M; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"108",2006,"(includes abstract) Birks J; Flicker L; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"109",2006,"(includes abstract) Trip J; Drost GG; van Engelen BGM; Faber CG; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"110",2006,"(includes abstract) Paramothayan NS; Lasserson TJ; Walters EH; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"111",2006,"(includes abstract) Barlow J; Johnston I; Kendrick D; Polnay L; Stewart-Brown S; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"112",2006,"(includes abstract) Vaile L; Williamson T; Waddell A; Taylor GJ; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"113",2006,"(includes abstract) Kwan I; Mapstone J; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"114",2006,"(includes abstract) Gates S; McCambridge J; Smith LA; Foxcroft D; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"115",2006,"(includes abstract) Clasen TF; Roberts IG; Rabie T; Schmidt W; Cairncross S; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"116",2006,"(includes abstract) Haedersdal M; Gøtzsche PC; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"117",2006,"(includes abstract) Rojas-Reyes MX; Granados Rugeles C; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"118",2006,"(includes abstract) Vuillermin P; South M; Robertson C; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"119",2006,"(includes abstract) Handford C; Tynan A; Rackal JM; Glazier R; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"120",2006,"(includes abstract) Bergin S; Wraight P; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"121",2006,"(includes abstract) Proctor M; Hing W; Johnson TC; Murphy PA; Brown J; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"122",2006,"(includes abstract) Siegfried N; van Deventer PJ; Mahomed FA; Rutherford GW; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"123",2006,"(includes abstract) Morgan J; Wyld L; Collins KA; Reed MW; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"124",2006,"(includes abstract) Long V; Chen S; Hatt SR; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"125",2006,"(includes abstract) Akbari Sari A; Flemming K; Cullum NA; Wollina U; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"126",2006,"(includes abstract) Duehmke RM; Hollingshead J; Cornblath DR; Cochrane Database of Systematic Reviews, 2006: N.PAG. (journal article - research, systematic review) "
"127",2006,"(includes abstract) McGavigan AD; Mond HG; Current Opinion in Cardiology, 2006 Jan; 21 (1): 7-14. (journal article - diagnostic images, pictorial, review, tables/charts, tracings) "
"128",2006,"(includes abstract) Tiseo M; Franciosi V; Grossi F; Ardizzoni A; European Journal of Cancer, 2006 Jan; 42 (1): 8-16. (journal article - review, tables/charts) "
"129",2006,"(includes abstract) Buxton M; Caine N; Chase D; Connelly D; Grace A; Jackson C; Parkes J; Sharples L; Health Technology Assessment, 2006; 10 (27): 1-180. (journal article - questionnaire/scale, research, systematic review, tables/charts) "
"130",2006,"(includes abstract) Shepherd J; Jones J; Takeda A; Davidson P; Price A; Health Technology Assessment, 2006; 10 (28): 1-200. (journal article - glossary, research, systematic review, tables/charts) "
"131",2006,"(includes abstract) Robinson L; Hutchings D; Corner L; Beyer F; Dickinson H; Vanoli A; Finch T; Hughes J; Ballard C; May C; et al.; Health Technology Assessment, 2006; 10 (26): iii, ix-x, 1-108. (journal article - forms, glossary, research, systematic review, tables/charts) "
"132",2006,"(includes abstract) Yao G; Albon E; Adi Y; Milford D; Bayliss S; Ready A; Raftery J; Taylor RS; Health Technology Assessment, 2006; 10 (49): iii-iv, ix-xi, 1-173. (journal article - glossary, research, systematic review, tables/charts) "
"133",2006,"(includes abstract) Williams C; Brunskill S; Altman D; Briggs A; Campbell H; Clarke M; Glanville J; Gray A; Harris A; Johnston K; et al.; Health Technology Assessment, 2006; 10 (34): iii-iv, ix-xi, 1-217. (journal article - forms, glossary, questionnaire/scale, research, systematic review, tables/charts) "
"134",2006,"(includes abstract) Goodacre S; Sampson F; Stevenson M; Wailoo A; Sutton A; Thomas S; Locker T; Ryan A; Health Technology Assessment, 2006; 10 (15): iii-iv, ix-x, 1-164. (journal article - research, systematic review, tables/charts) "
"135",2006,"(includes abstract) Wu O; Robertson L; Twaddle S; Lowe GDO; Clark P; Greaves M; Walker ID; Langhorne P; Brenkel I; Regan L; et al.; Health Technology Assessment, 2006; 10 (11): iii-iv, ix-xii, 1-93. (journal article - forms, questionnaire/scale, research, systematic review, tables/charts) "
"136",2006,"(includes abstract) Martin JL; Williams KS; Abrams KR; Turner DA; Sutton AJ; Chapple C; Assassa RP; Shaw C; Cheater F; Health Technology Assessment, 2006; 10 (6): iii-iv, ix-xi, 1-116. (journal article - forms, research, systematic review, tables/charts) "
"137",2006,"(includes abstract) Loveman E; Green C; Kirby J; Takeda A; Picot J; Payne E; Clegg A; Health Technology Assessment, 2006; 10 (1): iii-iv, ix-xi, 1-160. (journal article - research, systematic review, tables/charts) "
"138",2006,"(includes abstract) Pandor A; Eggington S; Paisley S; Tappenden P; Sutcliffe P; Health Technology Assessment, 2006; 10 (41): iii-iv, xi-xiv, 1-185. (journal article - glossary, research, systematic review, tables/charts) "
"139",2006,"(includes abstract) Nguyen ATT; Brown JJ; Warne GL; Indian Journal of Pediatrics, 2006 Jan; 73 (1): 89-93. (journal article - review) "
"140",2006,"(includes abstract) Noble JH Jr.; Journal of Laboratory & Clinical Medicine, 2006 Jan; 147 (1): 7-20. (journal article - equations & formulas, review, tables/charts) "
"141",2006,"(includes abstract) Van Peppen RPS; Kortsmit M; Lindeman E; Kwakkel G; Journal of Rehabilitation Medicine (Taylor & Francis Ltd), 2006 Jan; 38 (1): 3-9. (journal article - research, systematic review, tables/charts) "
"142",2006,"(includes abstract) McCusker J; Verdon J; Journals of Gerontology Series A: Biological Sciences & Medical Sciences, 2006 Jan; 61A (1): 53-62. (journal article - research, systematic review, tables/charts) "
"143",2006,"(includes abstract) Bohannon RW; Topics in Geriatric Rehabilitation, 2006 Jan-Mar; 22 (1): 70-7. (journal article - research, systematic review, tables/charts) "
"144",2006,"(includes abstract) Charpentier G; Riveline J; Dardari D; Varroud-Vial M; Drugs, 2006; 66 (3): 273-86. (journal article - review, tables/charts) "
"145",2006,"(includes abstract) Celso B; Tepas J; Langland-Orban B; Pracht E; Papa L; Lottenberg L; Flint L; Mulder DS; Liberman M; Sampalis J; Journal of Trauma, 2006 Feb; 60 (2): 371-8. (journal article - research, systematic review, tables/charts) "
"146",2006,"(includes abstract) Faraone SV; Biederman J; Mick E; Psychological Medicine, 2006 Feb; 36 (2): 159-65. (journal article - research, systematic review, tables/charts) "
"147",2006,"(includes abstract) Herder C; Howard C; Nye C; Vanryckeghem M; Contemporary Issues in Communication Science & Disorders, 2006 Spring; 33: 61-73. (journal article - research, systematic review, tables/charts) "
"148",2006,"(includes abstract) Jurkovitz C; Abramson J; McClellan WM; Current Opinion in Nephrology & Hypertension, 2006 Mar; 15 (2): 117-22. (journal article - review, tables/charts) "
"149",2006,"(includes abstract) Abusriwil H; Stockley RA; Current Opinion in Pulmonary Medicine, 2006 Mar; 12 (2): 125-31. (journal article - review, tables/charts) "
"150",2006,"(includes abstract) Pellegrino AM; Emergency Medical Services, 2006 Mar; 35 (3): 86-92. (journal article - pictorial, research, systematic review, tables/charts) "
"151",2006,"(includes abstract) Chen X; Wu T; Liu G; Journal of Alternative & Complementary Medicine, 2006 Mar; 12 (2): 171-80. (journal article - research, systematic review, tables/charts) "
"152",2006,"(includes abstract) McClave SA; Chang WK; Dhaliwal R; Heyland DK; JPEN Journal of Parenteral & Enteral Nutrition, 2006 Mar-Apr; 30 (2): 143-56. (journal article - research, systematic review) "
