,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
11,13,31750,Conventional chest physiotherapy compared to other airway clearance techniques for cystic fibrosis.,Conventional chest physiotherapy compared to other airway clearance techniques for cystic fibrosis.,"Main E; Prasad A; van der Schans CP; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674888 CINAHL AN: 200982432","Main E(1), Prasad A, Schans C.",
12,15,31496,Early introduction of lipids to parenterally-fed preterm infants.,Early introduction of lipids to parenterally-fed preterm infants.,"Simmer K; Rao SC; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846747 CINAHL AN: 200982449","Simmer K(1), Rao SC.",
13,17,31514,Emergency interventions for hyperkalaemia.,Emergency interventions for hyperkalaemia.,"Mahoney BA; Smith WA; Lo D; Tsoi K; Tonelli M; Clase C; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846652 CINAHL AN: 200982441","Mahoney BA, Smith WA, Lo DS, Tsoi K, Tonelli M, Clase CM.",
14,19,31751,Follow-up strategies for women treated for early breast cancer.,Follow-up strategies for women treated for early breast cancer.,"Rojas MPM; Telaro E; Moschetti I; Coe L; Fossati R; Liberati A; Rosselli MDT; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674884 CINAHL AN: 200982298","Rojas MP, Telaro E, Russo A, Moschetti I, Coe L, Fossati R, Palli D, del Roselli  TM, Liberati A.",
15,20,31509,Group based training for self-management strategies in people with type 2 diabetes mellitus.,Group based training for self-management strategies in people with type 2 diabetes mellitus.,"Deakin TA; McShane CE; Cade JE; Williams R; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846663 CINAHL AN: 200982441","Deakin T(1), McShane CE, Cade JE, Williams RD.",
16,21,31524,Group behaviour therapy programmes for smoking cessation.,Group behaviour therapy programmes for smoking cessation.,"Stead LF; Lancaster T; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846610 CINAHL AN: 200982263","Stead LF(1), Lancaster T.",
17,23,31742,Home versus center based physical activity programs in older adults.,Home versus center based physical activity programs in older adults.,"Ashworth NL; Chad KE; Harrison EL; Reeder BA; Marshall SC; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674925 CINAHL AN: 200982434","Ashworth NL(1), Chad KE, Harrison EL, Reeder BA, Marshall SC.",
18,26,31508,Interventions for improving adherence to treatment recommendations in people with type 2 diabetes mellitus.,Interventions for improving adherence to treatment recommendations in people with type 2 diabetes mellitus.,"Vermeire EI; Wens J; Van Royen P; Biot Y; Hearnshaw H; Lindenmeyer A; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846672 CINAHL AN: 200982442","Vermeire E(1), Wens J, Van Royen P, Biot Y, Hearnshaw H, Lindenmeyer A.",
19,28,30988,"Low level laser therapy (Classes I, II and III) for treating rheumatoid arthritis.","Low level laser therapy (Classes I, II and III) for treating rheumatoid arthritis.","Brosseau L; Welch V; Wells GA; de Bie R; Gam A; Harman K; Morin M; Shea B; Tugwell P; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235295 CINAHL AN: 200982313","Brosseau L(1), Robinson V, Wells G, Debie R, Gam A, Harman K, Morin M, Shea B, Tugwell P.",
20,31,30993,Non-nutritive sucking for promoting physiologic stability and nutrition in preterm infants.,Non-nutritive sucking for promoting physiologic stability and nutrition in preterm infants.,"Pinelli J; Symington AJ; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235279 CINAHL AN: 200982267","Pinelli J(1), Symington A.",
21,32,31736,Percutaneous transluminal coronary angioplasty with stents versus coronary artery bypass grafting for people with stable angina or acute coronary syndromes.,Percutaneous transluminal coronary angioplasty with stents versus coronary artery bypass grafting for people with stable angina or acute coronary syndromes.,"Bakhai A; Hill RA; Dundar Y; Dickson RC; Walley T; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674954 CINAHL AN: 200982437","Bakhai A, Hill RA, Dundar Y, Dickson R, Walley T.",
22,33,31749,Phosphodiesterase III inhibitors for heart failure.,Phosphodiesterase III inhibitors for heart failure.,"Amsallem E; Kasparian C; Haddour G; Boissel J; Nony P; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674893 CINAHL AN: 200982432","Amsallem E, Kasparian C, Haddour G, Boissel JP, Nony P.",
23,34,31738,Population-based interventions for the prevention of fall-related injuries in older people.,Population-based interventions for the prevention of fall-related injuries in older people.,"McClure RJ; Turner C; Peel N; Spinks A; Eakin E; Hughes K; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15674948 CINAHL AN: 200982436","McClure R, Turner C, Peel N, Spinks A, Eakin E, Hughes K.",
24,36,30992,Preoperative radiotherapy for esophageal carcinoma.,Preoperative radiotherapy for esophageal carcinoma.,"Arnott SJ; Duncan W; Gignoux M; Girling D; Hansen H; Launois B; Nygaard K; Parmar MK; Rousell A; Spiliopoulos G; et al.; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235286 CINAHL AN: 200982299","Arnott SJ, Duncan W, Gignoux M, Hansen HS, Launois B, Nygaard K, Parmar MK, Rousell A, Spilopoulos G, Stewart G, Tierney JF, Wang M, Rhugang Z; Oeosphageal Cancer Collaborative Group.",
25,38,31250,Prophylactic nasal continuous positive airways pressure for preventing morbidity and mortality in very preterm infants.,Prophylactic nasal continuous positive airways pressure for preventing morbidity  and mortality in very preterm infants.,"Subramaniam P; Henderson-Smart DJ; Davis PG; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16034858 CINAHL AN: 200982277","Subramaniam P(1), Henderson-Smart DJ, Davis PG.",
26,39,30986,Psychological interventions for children with asthma.,Psychological interventions for children with asthma.,"Yorke J; Fleming SL; Shuldham C; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235317 CINAHL AN: 200982458","Yorke J(1), Fleming S, Shuldham C.",
27,40,31240,Serotonin and noradrenaline reuptake inhibitors (SNRI) for stress urinary incontinence in adults.,Serotonin and noradrenaline reuptake inhibitors (SNRI) for stress urinary incontinence in adults.,"Mariappan P; Alhasso AA; Grant A; N'Dow JM; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16034945 CINAHL AN: 200982454","Mariappan P(1), Ballantyne Z, N'Dow JM, Alhasso AA.",x
28,41,31523,Substitution of doctors by nurses in primary care.,Substitution of doctors by nurses in primary care.,"Laurant M; Reeves D; Hermens R; Braspenning J; Grol R; Sibbald B; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846614 CINAHL AN: 200982314","Laurant M(1), Reeves D, Hermens R, Braspenning J, Grol R, Sibbald B.",
29,42,30990,Surgical interruption of pelvic nerve pathways for primary and secondary dysmenorrhoea.,Surgical interruption of pelvic nerve pathways for primary and secondary dysmenorrhoea.,"Proctor M; Latthe P; Farquhar C; Khan K; Johnson N; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235288 CINAHL AN: 200982303","Proctor ML(1), Latthe PM, Farquhar CM, Khan KS, Johnson NP.",
30,44,31511,Taxane containing regimens for metastatic breast cancer.,Taxane containing regimens for metastatic breast cancer.,"Ghersi D; Wilcken N; Simes J; Donoghue E; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846659 CINAHL AN: 200982393","Ghersi D(1), Wilcken N, Simes J, Donoghue E.",
31,45,30980,Testosterone for peri- and postmenopausal women.,Testosterone for peri- and postmenopausal women.,"Somboonporn W; Bell RJ; Davis SR; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235365 CINAHL AN: 200982461","Somboonporn W, Davis S, Seif MW, Bell R.",x
32,46,31501,Unit-dose packaged drugs for treating malaria.,Unit-dose packaged drugs for treating malaria.,"Orton LC; Barnish G; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 15846723 CINAHL AN: 200982447","Orton L(1), Barnish G.",
33,47,30985,Vaginal disinfection for preventing mother-to-child transmission of HIV infection.,Vaginal disinfection for preventing mother-to-child transmission of HIV infection.,"Wiysonge CS; Shey M; Shang J; Sterne JA; Brocklehurst P; Cochrane Database of Systematic Reviews, 2005: N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 16235334 CINAHL AN: 200982361","Wiysonge CS(1), Shey MS, Shang JD, Sterne JA, Brocklehurst P.",
34,50,31373,"A systematic review and economic evaluation of alendronate, etidronate, risedronate, raloxifene and teriparatide for the prevention and treatment of postmenopausal osteoporosis.","A systematic review and economic evaluation of alendronate, etidronate, risedronate, raloxifene and teriparatide for the prevention and treatment of postmenopausal osteoporosis.","Stevenson M; Lloyd Jones M; De Nigris E; Brewer N; Davis S; Oakley J; Health Technology Assessment, 2005; 9 (22): iii-iv, ix-xi, 1-145. (journal article - glossary, research, systematic review, tables/charts) ISSN: 1366-5278 PMID: 15929857 CINAHL AN: 200905971","Stevenson M(1), Jones ML, De Nigris E, Brewer N, Davis S, Oakley J.",
35,58,31819,Post-acute intermediate care in nursing-led units: a systematic review of effectiveness.,Post-acute intermediate care in nursing-led units: a systematic review of effectiveness.,"Griffiths P; Edwards M; Forbes A; Harris R; International Journal of Nursing Studies, 2005 Jan; 42 (1): 107-16. (journal article - research, systematic review, tables/charts) ISSN: 0020-7489 PMID: 15582644 CINAHL AN: 200505677","Griffiths P(1), Edwards M, Forbes A, Harris R.",
36,62,31734,"Cholesteryl ester transfer protein TaqIB variant, high-density lipoprotein cholesterol levels, cardiovascular risk, and efficacy of pravastatin treatment: individual patient meta-analysis of 13 677 subjects.","Cholesteryl ester transfer protein TaqIB variant, high-density lipoprotein cholesterol levels, cardiovascular risk, and efficacy of pravastatin treatment: individual patient meta-analysis of 13,677 subjects.","Boekholdt SM; Sacks FM; Jukema JW; Shepherd J; Freeman DJ; McMahon AD; Cambien F; Nicaud V; de Grooth GJ; Eiriksdottir G; et al.; Circulation, 2005 Jan 25; 111 (3): 278-87. (journal article - research, systematic review, tables/charts) ISSN: 0009-7322 PMID: 15655129 CINAHL AN: 200908693","Boekholdt SM(1), Sacks FM, Jukema JW, Shepherd J, Freeman DJ, McMahon AD, Cambien F, Nicaud V, de Grooth GJ, Talmud PJ, Humphries SE, Miller GJ, Eiriksdottir G, Gudnason V, Kauma H, Kakko S, Savolainen MJ, Arca M, Montali A, Liu S, Lanz HJ, Zwinderman AH, Kuivenhoven JA, Kastelein JJ.",
37,63,31679,A multidimensional meta-analysis of psychotherapy for PTSD.,A multidimensional meta-analysis of psychotherapy for PTSD.,"Bradley R; Greene J; Russ E; Dutra L; Westen D; American Journal of Psychiatry, 2005 Feb; 162 (2): 214-27. (journal article - research, systematic review, tables/charts) ISSN: 0002-953X PMID: 15677582 CINAHL AN: 200510250","Bradley R(1), Greene J, Russ E, Dutra L, Westen D.",
38,65,31692,Self-monitoring of blood glucose as part of a multi-component therapy among non-insulin requiring type 2 diabetes patients: a meta-analysis (1966-2004).,Self-monitoring of blood glucose as part of a multi-component therapy among non-insulin requiring type 2 diabetes patients: a meta-analysis (1966-2004).,"Sarol JN Jr.; Nicodemus NA Jr.; Tan KM; Grava MB; Current Medical Research & Opinion, 2005 Feb; 21 (2): 173-83. (journal article - equations & formulas, forms, research, systematic review, tables/charts) ISSN: 0300-7995 PMID: 15801988 CINAHL AN: 200902362","Sarol JN Jr(1), Nicodemus NA Jr, Tan KM, Grava MB.",
39,66,31693,Are granulocyte colony-stimulating factors beneficial in treating diabetic foot infections? A meta-analysis.,Are granulocyte colony-stimulating factors beneficial in treating diabetic foot infections?: A meta-analysis.,"Cruciani M; Lipsky BA; Mengoli C; de Lalla F; Diabetes Care, 2005 Feb; 28 (2): 454-60. (journal article - research, systematic review, tables/charts) ISSN: 0149-5992 PMID: 15677817 CINAHL AN: 200511729","Cruciani M(1), Lipsky BA, Mengoli C, de Lalla F.",
40,67,31707,Effect of high-fat or high-carbohydrate diets on endurance exercise: a meta-analysis.,Effect of high-fat or high-carbohydrate diets on endurance exercise: a meta-analysis.,"Erlenbusch M; Haub M; Munoz K; MacConnie S; Stillwell B; International Journal of Sport Nutrition & Exercise Metabolism, 2005 Feb; 15 (1): 1-14. (journal article - research, systematic review, tables/charts) ISSN: 1526-484X PMID: 15902985 CINAHL AN: 200919997","Erlenbusch M(1), Haub M, Munoz K, MacConnie S, Stillwell B.",
41,68,31709,Effect of bisphosphonates on periprosthetic bone mineral density after total joint arthroplasty: a meta-analysis.,Effect of bisphosphonates on periprosthetic bone mineral density after total joint arthroplasty. A meta-analysis.,"Bhandari M; Bajammal S; Guyatt GH; Griffith L; Busse JW; SchÃ_nemann H; Einhorn TA; Journal of Bone & Joint Surgery, American Volume, 2005 Feb; 87A (2): 293-301. (journal article - research, systematic review, tables/charts) ISSN: 0021-9355 PMID: 15687150 CINAHL AN: 200911153","Bhandari M(1), Bajammal S, Guyatt GH, Griffith L, Busse JW, SchÃ_nemann H, Einhorn TA.",
42,69,31721,The relationship between job satisfaction and health: a meta-analysis.,The relationship between job satisfaction and health: a meta-analysis.,"Faragher EB; Cass M; Cooper CL; Occupational & Environmental Medicine, 2005 Feb; 62 (2): 105-12. (journal article - research, systematic review, tables/charts) ISSN: 1351-0711 PMID: 15657192 CINAHL AN: 200512311","Faragher EB(1), Cass M, Cooper CL.",
43,72,31594,Should nortriptyline be used as a first-line aid to help smokers quit? Results from a systematic review and meta-analysis.,Should nortriptyline be used as a first-line aid to help smokers quit? Results from a systematic review and meta-analysis.,"Wagena EJ; Knipschild P; Zeegers MPA; Addiction, 2005 Mar; 100 (3): 317-26. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 15733245 CINAHL AN: 200507225","Wagena EJ(1), Knipschild P, Zeegers MP.",
44,73,31599,A systematic review of the association between factor V Leiden or prothrombin gene variant and intrauterine growth restriction.,A systematic review of the association between factor V Leiden or prothrombin gene variant and intrauterine growth restriction.,"Howley HEA; Walker M; Rodger MA; American Journal of Obstetrics & Gynecology, 2005 Mar; 192 (3): 694-708. (journal article - research, systematic review, tables/charts) ISSN: 0002-9378 PMID: 15746660 CINAHL AN: 200507229","Howley HE(1), Walker M, Rodger MA.",
45,75,31616,A meta-analysis of patellar replacement in total knee arthroplasty.,A meta-analysis of patellar replacement in total knee arthroplasty.,"Nizard RS; Biau D; Porcher R; Ravaud P; Bizot P; Hannouche D; Sedel L; Clinical Orthopaedics & Related Research, 2005 Mar; 432: 196-203. (journal article - questionnaire/scale, research, systematic review, tables/charts) ISSN: 0009-921X PMID: 15738822 CINAHL AN: 200917065","Nizard RS(1), Biau D, Porcher R, Ravaud P, Bizot P, Hannouche D, Sedel L.",
46,76,31618,The effects of type 1 diabetes on cognitive performance: a meta-analysis.,The effects of type 1 diabetes on cognitive performance: a meta-analysis.,"Brands AMA; Biessels GJ; de Haan EHF; Kappelle LJ; Kessels RPC; Diabetes Care, 2005 Mar; 28 (3): 726-35. (journal article - research, systematic review, tables/charts) ISSN: 0149-5992 PMID: 15735218 CINAHL AN: 200511744","Brands AM(1), Biessels GJ, de Haan EH, Kappelle LJ, Kessels RP.",
47,79,31628,"Effect of dietary fiber intake on blood pressure: a meta-analysis of randomized, controlled clinical trials.","Effect of dietary fiber intake on blood pressure: a meta-analysis of randomized,  controlled clinical trials.","Whelton SP; Hyre AD; Pedersen B; Yi Y; Whelton PK; He J; Journal of Hypertension, 2005 Mar; 23 (3): 475-81. (journal article - research, systematic review, tables/charts) ISSN: 0263-6352 PMID: 15716684 CINAHL AN: 200918993","Whelton SP(1), Hyre AD, Pedersen B, Yi Y, Whelton PK, He J.",
48,80,31630,Efficacy of rapid-rate repetitive transcranial magnetic stimulation in the treatment of depression: a systematic review and meta-analysis.,Efficacy of rapid-rate repetitive transcranial magnetic stimulation in the treatment of depression: a systematic review and meta-analysis.,"Couturier JL; Journal of Psychiatry & Neuroscience, 2005 Mar; 30 (2): 83-90. (journal article - research, systematic review, tables/charts) ISSN: 1180-4882 PMID: 15798783 CINAHL AN: 200904745",Couturier JL(1).,
49,81,31634,Effects of exercise on heart rate variability: inferences from meta-analysis.,Effects of exercise on heart rate variability: inferences from meta-analysis.,"Sandercock GRH; Bromley PD; Brodie DA; Medicine & Science in Sports & Exercise, 2005 Mar; 37 (3): 433-9. (journal article - research, systematic review, tables/charts) ISSN: 0195-9131 PMID: 15741842 CINAHL AN: 200909093","Sandercock GR(1), Bromley PD, Brodie DA.",
50,82,31640,Meta-analysis of the efficacy of the acetonic kava-kava extract WS1490 in patients with non-psychotic anxiety disorders.,Meta-analysis of the efficacy of the acetonic kava-kava extract WS1490 in patients with non-psychotic anxiety disorders.,"Witte S; Loew D; Gaus W; Phytotherapy Research, 2005 Mar; 19 (3): 183-8. (journal article - research, systematic review, tables/charts) ISSN: 0951-418X PMID: 15934028 CINAHL AN: 200915914","Witte S(1), Loew D, Gaus W.",
51,83,31645,The placebo response in the treatment of chronic fatigue syndrome: a systematic review and meta-analysis.,The placebo response in the treatment of chronic fatigue syndrome: a systematic review and meta-analysis.,"Cho HJ; Hotopf M; Wessely S; Psychosomatic Medicine, 2005 Mar-Apr; 67 (2): 301-13. (journal article - research, systematic review, tables/charts) ISSN: 0033-3174 PMID: 15784798 CINAHL AN: 200508526","Cho HJ(1), Hotopf M, Wessely S.",
52,88,31542,Pediatric spinal cord injury without radiographic abnormality: a meta-analysis.,Pediatric spinal cord injury without radiographic abnormality: a meta-analysis.,"Launay F; Leet AI; Sponseller PD; Clinical Orthopaedics & Related Research, 2005 Apr; 433: 166-70. (journal article - diagnostic images, research, systematic review, tables/charts) ISSN: 0009-921X PMID: 15805953 CINAHL AN: 200922170","Launay F(1), Leet AI, Sponseller PD.",
53,90,31547,Effect of sibutramine on weight management and metabolic control in type 2 diabetes: a meta-analysis of clinical studies.,Effect of sibutramine on weight management and metabolic control in type 2 diabetes: a meta-analysis of clinical studies.,"Vettor R; Serra R; Fabris R; Pagano C; Federspil G; Diabetes Care, 2005 Apr; 28 (4): 942-9. (journal article - research, systematic review, tables/charts) ISSN: 0149-5992 PMID: 15793204 CINAHL AN: 200906112","Vettor R(1), Serra R, Fabris R, Pagano C, Federspil G.",
54,91,31534,Efficacy of antidepressants in substance use disorders with and without comorbid depression: a systematic review and meta-analysis.,Efficacy of antidepressants in substance use disorders with and without comorbid  depression. A systematic review and meta-analysis.,"Torrens M; Fonseca F; Mateu G; Farre M; Drug & Alcohol Dependence, 2005 Apr 4; 78 (1): 1-22. (journal article - research, systematic review, tables/charts) ISSN: 0376-8716 PMID: 15769553 CINAHL AN: 200508896","Torrens M(1), Fonseca F, Mateu G, FarrÃ© M.",
55,94,31566,Effects of ankle support on lower-extremity functional performance: a meta-analysis.,Effects of ankle support on lower-extremity functional performance: a meta-analysis.,"Cordova ML; Scott BD; Ingersoll CD; Leblanc MJ; Medicine & Science in Sports & Exercise, 2005 Apr; 37 (4): 635-41. (journal article - research, systematic review, tables/charts) ISSN: 0195-9131 PMID: 15809563 CINAHL AN: 200909103","Cordova ML(1), Scott BD, Ingersoll CD, LeBlanc MJ.",
56,96,31556,Preoperative education for orthopaedic patients: systematic review.,Preoperative education for orthopaedic patients: systematic review.,"Johansson K; Nuutila L; Virtanen H; Katajisto J; SalanterÃ_ S; Journal of Advanced Nursing, 2005 Apr; 50 (2): 212-23. (journal article - research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 15788086 CINAHL AN: 200508051","Johansson K(1), Nuutila L, Virtanen H, Katajisto J, SalanterÃ_ S.",
57,98,31430,Topical nonsteroidal anti-inflammatory drugs for corneal abrasions: meta-analysis of randomized trials.,Topical nonsteroidal anti-inflammatory drugs for corneal abrasions: meta-analysis of randomized trials.,"Calder LA; Balasubramanian S; Fergusson D; Academic Emergency Medicine, 2005 May; 12 (5): 467-73. (journal article - research, systematic review, tables/charts) ISSN: 1069-6563 PMID: 15860701 CINAHL AN: 200510495","Calder LA(1), Balasubramanian S, Fergusson D.",
58,99,31769,Vascular closure devices: a review of their use after invasive procedures.,Vascular closure devices: a review of their use after invasive procedures.,"Lasic Z; Nikolsky E; Kesanakurthy S; Dangas G; American Journal of Cardiovascular Drugs, 2005; 5 (3): 185-200. (journal article - pictorial, review, tables/charts) ISSN: 1175-3277 PMID: 15901206 CINAHL AN: 200511605","Lasic Z(1), Nikolsky E, Kesanakurthy S, Dangas G.",
59,100,31433,Supplementation of infant formula with long-chain polyunsaturated fatty acids does not influence the growth of term infants.,Supplementation of infant formula with long-chain polyunsaturated fatty acids does not influence the growth of term infants.,"Makrides M; Gibson RA; Udell T; Ried K; International LCPUFA (Long-Chain Polyunsaturated Fatty Acids) Investigators; American Journal of Clinical Nutrition, 2005 May; 81 (5): 1094-101. (journal article - research, systematic review, tables/charts) ISSN: 0002-9165 PMID: 15883434 CINAHL AN: 200511102","Makrides M(1), Gibson RA, Udell T, Ried K; International LCPUFA Investigators.",
60,101,31434,The prehospital 12-lead electrocardiogram's effect on time to initiation of reperfusion therapy: a systematic review and meta-analysis of existing literature.,The prehospital 12-lead electrocardiogram's effect on time to initiation of reperfusion therapy: a systematic review and meta-analysis of existing literature.,"Brainard AH; Raynovich W; Tandberg D; Bedrick EJ; American Journal of Emergency Medicine, 2005 May; 23 (3): 351-6. (journal article - research, systematic review, tables/charts) ISSN: 0735-6757 PMID: 15915413 CINAHL AN: 200913076","Brainard AH(1), Raynovich W, Tandberg D, Bedrick EJ.",
61,103,31447,Can telepsychiatry replace in-person psychiatric assessments? A review and meta-analysis of comparison studies.,Can telepsychiatry replace in-person psychiatric assessments? A review and meta-analysis of comparison studies.,"Hyler SE; Gangure DP; Batchelder ST; CNS Spectrums: The International Journal of Neuropsychiatric Medicine, 2005 May; 10 (5): 403-13, 416-7. (journal article - CEU, exam questions, research, systematic review, tables/charts) ISSN: 1092-8529 PMID: 15858458 CINAHL AN: 200510861","Hyler SE(1), Gangure DP, Batchelder ST.",
